region,postcode_sector,year,avg_price,volume,delta
East England,PE1 1,1997,52000,15,33
East England,PE1 2,1997,38000,134,0
East England,PE1 3,1997,45000,258,7
East England,PE1 4,1997,52000,210,11
East England,PE1 5,1997,37000,129,-3
East England,PE10 0,1997,74000,245,16
East England,PE10 9,1997,62000,320,13
East England,PE11 1,1997,51000,253,11
East England,PE11 2,1997,46000,214,2
East England,PE11 3,1997,60000,371,15
East England,PE11 4,1997,53000,217,10
East England,PE12 0,1997,57000,140,6
East England,PE12 6,1997,60000,165,18
East England,PE12 7,1997,49000,233,4
East England,PE12 8,1997,52000,80,16
East England,PE12 9,1997,47000,226,7
East England,PE13 1,1997,43000,62,-25
East England,PE13 2,1997,46000,202,15
East England,PE13 3,1997,41000,214,11
East England,PE13 4,1997,53000,153,26
East England,PE13 5,1997,55000,116,6
East England,PE14 0,1997,51000,117,11
East England,PE14 7,1997,55000,103,-5
East England,PE14 8,1997,55000,110,15
East England,PE14 9,1997,62000,76,9
East England,PE15 0,1997,59000,212,16
East England,PE15 8,1997,41000,239,2
East England,PE15 9,1997,55000,252,20
East England,PE16 6,1997,47000,248,4
East England,PE19 1,1997,81000,182,19
East England,PE19 2,1997,54000,210,20
East England,PE19 5,1997,96000,118,13
East England,PE19 6,1997,87000,138,12
East England,PE19 7,1997,71000,143,4
East England,PE19 8,1997,60000,216,11
East England,PE2 5,1997,49000,356,2
East England,PE2 6,1997,75000,142,14
East England,PE2 7,1997,70000,98,11
East England,PE2 8,1997,57000,389,6
East England,PE2 9,1997,38000,202,0
East England,PE20 1,1997,56000,92,2
East England,PE20 2,1997,49000,52,7
East England,PE20 3,1997,58000,70,21
East England,PE21 0,1997,44000,236,2
East England,PE21 6,1997,36000,76,9
East England,PE21 7,1997,49000,148,11
East England,PE21 8,1997,35000,199,9
East England,PE21 9,1997,51000,226,-2
East England,PE22 0,1997,58000,132,7
East England,PE22 7,1997,57000,63,12
East England,PE22 8,1997,49000,57,4
East England,PE22 9,1997,56000,56,8
East England,PE23 4,1997,62000,49,-6
East England,PE23 5,1997,52000,124,4
East England,PE24 4,1997,47000,78,-6
East England,PE24 5,1997,46000,210,15
East England,PE25 1,1997,49000,154,7
East England,PE25 2,1997,44000,135,10
East England,PE25 3,1997,55000,169,10
East England,PE26 1,1997,60000,128,7
East England,PE26 2,1997,67000,132,-8
East England,PE27 3,1997,54000,259,-10
East England,PE27 4,1997,88000,66,14
East England,PE27 5,1997,66000,148,6
East England,PE27 6,1997,63000,80,-2
East England,PE28 0,1997,99000,152,2
East England,PE28 2,1997,84000,168,6
East England,PE28 3,1997,75000,240,7
East England,PE28 4,1997,75000,241,-5
