region,postcode_sector,year,avg_price,volume,delta
East England,PE1 1,2017,149000,61,14
East England,PE1 2,2017,142000,163,2
East England,PE1 3,2017,143000,177,2
East England,PE1 4,2017,169000,243,1
East England,PE1 5,2017,129000,242,-7
East England,PE10 0,2017,223000,415,8
East England,PE10 9,2017,216000,211,12
East England,PE11 1,2017,178000,173,7
East England,PE11 2,2017,159000,231,3
East England,PE11 3,2017,185000,316,2
East England,PE11 4,2017,205000,141,8
East England,PE12 0,2017,222000,88,4
East England,PE12 6,2017,216000,159,11
East England,PE12 7,2017,167000,160,0
East England,PE12 8,2017,204000,89,8
East England,PE12 9,2017,169000,248,8
East England,PE13 1,2017,187000,68,1
East England,PE13 2,2017,169000,179,17
East England,PE13 3,2017,147000,204,12
East England,PE13 4,2017,233000,141,17
East England,PE13 5,2017,206000,135,4
East England,PE14 0,2017,207000,109,8
East England,PE14 7,2017,223000,92,5
East England,PE14 8,2017,221000,104,10
East England,PE14 9,2017,219000,96,10
East England,PE15 0,2017,225000,181,9
East England,PE15 8,2017,179000,255,9
East England,PE15 9,2017,197000,192,4
East England,PE16 6,2017,189000,275,2
East England,PE19 1,2017,268000,126,5
East England,PE19 2,2017,252000,200,11
East England,PE19 5,2017,366000,92,15
East England,PE19 6,2017,293000,232,11
East England,PE19 7,2017,326000,120,13
East England,PE19 8,2017,267000,148,9
East England,PE2 5,2017,161000,233,3
East England,PE2 6,2017,261000,72,15
East England,PE2 7,2017,255000,56,1
East England,PE2 8,2017,187000,408,13
East England,PE2 9,2017,173000,234,1
East England,PE20 1,2017,201000,119,16
East England,PE20 2,2017,198000,62,18
East England,PE20 3,2017,182000,93,12
East England,PE21 0,2017,144000,180,4
East England,PE21 6,2017,114000,51,6
East England,PE21 7,2017,169000,209,-3
East England,PE21 8,2017,115000,170,1
East England,PE21 9,2017,162000,181,11
East England,PE22 0,2017,179000,88,-1
East England,PE22 7,2017,176000,53,7
East England,PE22 8,2017,200000,57,16
East England,PE22 9,2017,201000,57,11
East England,PE23 4,2017,235000,51,19
East England,PE23 5,2017,188000,118,13
East England,PE24 4,2017,162000,60,14
East England,PE24 5,2017,163000,198,12
East England,PE25 1,2017,154000,140,8
East England,PE25 2,2017,129000,134,7
East England,PE25 3,2017,165000,110,6
East England,PE26 1,2017,202000,112,7
East England,PE26 2,2017,264000,104,17
East England,PE27 3,2017,250000,139,7
East England,PE27 4,2017,306000,51,-12
East England,PE27 5,2017,288000,111,18
East England,PE27 6,2017,296000,98,10
East England,PE28 0,2017,383000,100,2
East England,PE28 2,2017,309000,164,16
East England,PE28 3,2017,293000,162,4
East England,PE28 4,2017,309000,192,11
East England,PE28 5,2017,288000,140,5
East England,PE28 9,2017,396000,114,3
East England,PE29 1,2017,240000,166,7
East England,PE29 2,2017,305000,194,14
East England,PE29 3,2017,186000,90,-4
East England,PE29 6,2017,263000,111,4
East England,PE29 7,2017,184000,46,16
East England,PE3 6,2017,302000,157,10
East England,PE3 7,2017,129000,57,7
East England,PE3 8,2017,149000,104,12
East England,PE3 9,2017,210000,122,9
East England,PE30 1,2017,137000,51,19
East England,PE30 2,2017,134000,82,15
East England,PE30 3,2017,224000,248,3
East England,PE30 4,2017,171000,180,17
East England,PE30 5,2017,147000,175,4
East England,PE31 6,2017,263000,137,14
East England,PE31 7,2017,242000,199,9
East England,PE31 8,2017,484000,148,-7
East England,PE32 1,2017,265000,207,13
East England,PE32 2,2017,285000,112,13
East England,PE33 0,2017,235000,174,6
East England,PE33 9,2017,281000,92,8
East England,PE34 3,2017,204000,97,0
East England,PE34 4,2017,227000,137,9
East England,PE36 5,2017,235000,146,-4
East England,PE36 6,2017,357000,92,-6
East England,PE37 7,2017,189000,137,2
East England,PE37 8,2017,241000,145,13
East England,PE38 0,2017,229000,75,11
East England,PE38 9,2017,210000,268,8
East England,PE4 5,2017,174000,115,5
East England,PE4 6,2017,191000,182,9
East England,PE4 7,2017,162000,161,5
East England,PE5 7,2017,441000,18,3
East England,PE6 0,2017,223000,198,8
East England,PE6 7,2017,260000,175,1
East England,PE6 8,2017,243000,252,6
East England,PE6 9,2017,305000,120,12
East England,PE7 0,2017,186000,54,4
East England,PE7 1,2017,201000,314,14
East England,PE7 2,2017,214000,113,9
East England,PE7 3,2017,229000,342,7
East England,PE7 8,2017,212000,457,1
East England,PE8 4,2017,310000,114,3
East England,PE8 5,2017,478000,58,29
East England,PE8 6,2017,316000,136,1
East England,PE9 1,2017,226000,191,10
East England,PE9 2,2017,342000,295,9
East England,PE9 3,2017,453000,128,9
East England,PE9 4,2017,334000,93,2
East Midlands,DE1 1,2017,116000,253,-3
