region,postcode_sector,year,avg_price,volume,delta
East England,PE1 1,2012,108000,9,-21
East England,PE1 2,2012,102000,57,-11
East England,PE1 3,2012,117000,106,-3
East England,PE1 4,2012,124000,116,-8
East England,PE1 5,2012,110000,116,-4
East England,PE10 0,2012,166000,212,-11
East England,PE10 9,2012,161000,176,3
East England,PE11 1,2012,147000,125,11
East England,PE11 2,2012,141000,137,8
East England,PE11 3,2012,149000,248,1
East England,PE11 4,2012,158000,96,2
East England,PE12 0,2012,189000,63,12
East England,PE12 6,2012,178000,108,7
East England,PE12 7,2012,130000,108,6
East England,PE12 8,2012,149000,69,8
East England,PE12 9,2012,135000,143,3
East England,PE13 1,2012,135000,44,-7
East England,PE13 2,2012,123000,120,3
East England,PE13 3,2012,114000,96,2
East England,PE13 4,2012,149000,88,-2
East England,PE13 5,2012,160000,78,-1
East England,PE14 0,2012,143000,90,-1
East England,PE14 7,2012,160000,64,-4
East England,PE14 8,2012,146000,60,-12
East England,PE14 9,2012,170000,56,13
East England,PE15 0,2012,160000,132,-8
East England,PE15 8,2012,132000,148,1
East England,PE15 9,2012,143000,144,-5
East England,PE16 6,2012,144000,211,-3
East England,PE19 1,2012,189000,117,3
East England,PE19 2,2012,178000,191,7
East England,PE19 5,2012,283000,84,15
East England,PE19 6,2012,224000,223,-1
East England,PE19 7,2012,217000,65,0
East England,PE19 8,2012,186000,92,3
East England,PE2 5,2012,119000,138,3
East England,PE2 6,2012,173000,65,-2
East England,PE2 7,2012,193000,41,9
East England,PE2 8,2012,151000,280,3
East England,PE2 9,2012,138000,138,9
East England,PE20 1,2012,151000,56,-1
East England,PE20 2,2012,158000,39,2
East England,PE20 3,2012,158000,63,4
East England,PE21 0,2012,124000,87,13
East England,PE21 6,2012,96000,31,-14
East England,PE21 7,2012,135000,100,-5
East England,PE21 8,2012,100000,123,1
East England,PE21 9,2012,146000,133,12
East England,PE22 0,2012,152000,63,-1
East England,PE22 7,2012,169000,42,19
East England,PE22 8,2012,163000,46,-1
East England,PE22 9,2012,153000,52,-9
East England,PE23 4,2012,209000,24,4
East England,PE23 5,2012,140000,64,4
East England,PE24 4,2012,128000,39,-16
East England,PE24 5,2012,125000,96,-4
East England,PE25 1,2012,124000,106,1
East England,PE25 2,2012,115000,76,0
East England,PE25 3,2012,177000,57,27
East England,PE26 1,2012,162000,54,24
East England,PE26 2,2012,182000,96,-9
East England,PE27 3,2012,179000,119,13
East England,PE27 4,2012,242000,27,-7
East England,PE27 5,2012,207000,99,1
East England,PE27 6,2012,206000,113,3
East England,PE28 0,2012,271000,71,-9
East England,PE28 2,2012,212000,113,-8
East England,PE28 3,2012,217000,141,2
East England,PE28 4,2012,230000,114,1
East England,PE28 5,2012,210000,111,15
East England,PE28 9,2012,331000,98,-3
East England,PE29 1,2012,181000,140,8
East England,PE29 2,2012,186000,86,-8
East England,PE29 3,2012,130000,68,-22
East England,PE29 6,2012,198000,100,11
East England,PE29 7,2012,116000,23,-9
East England,PE3 6,2012,215000,63,5
East England,PE3 7,2012,90000,26,-6
East England,PE3 8,2012,108000,57,9
East England,PE3 9,2012,166000,116,6
East England,PE30 1,2012,100000,20,6
East England,PE30 2,2012,102000,57,4
East England,PE30 3,2012,172000,198,0
East England,PE30 4,2012,129000,215,-2
East England,PE30 5,2012,101000,79,-5
East England,PE31 6,2012,199000,109,-7
East England,PE31 7,2012,172000,146,-3
East England,PE31 8,2012,337000,89,-23
East England,PE32 1,2012,188000,112,-7
