region,postcode_sector,year,avg_price,volume,delta
East England,PE1 1,1996,39000,10,-15
East England,PE1 2,1996,38000,149,6
East England,PE1 3,1996,42000,195,0
East England,PE1 4,1996,47000,182,0
East England,PE1 5,1996,38000,91,3
East England,PE10 0,1996,64000,209,5
East England,PE10 9,1996,55000,292,0
East England,PE11 1,1996,46000,237,-6
East England,PE11 2,1996,45000,192,5
East England,PE11 3,1996,52000,296,-5
East England,PE11 4,1996,48000,160,-4
East England,PE12 0,1996,54000,104,4
East England,PE12 6,1996,51000,136,4
East England,PE12 7,1996,47000,190,7
East England,PE12 8,1996,45000,86,-6
East England,PE12 9,1996,44000,184,5
East England,PE13 1,1996,57000,64,16
East England,PE13 2,1996,40000,138,-7
East England,PE13 3,1996,37000,128,3
East England,PE13 4,1996,42000,71,-7
East England,PE13 5,1996,52000,83,6
East England,PE14 0,1996,46000,99,10
East England,PE14 7,1996,58000,132,14
East England,PE14 8,1996,48000,94,-4
East England,PE14 9,1996,57000,83,33
East England,PE15 0,1996,51000,130,6
East England,PE15 8,1996,40000,212,-2
East England,PE15 9,1996,46000,184,0
East England,PE16 6,1996,45000,195,-2
East England,PE19 1,1996,68000,188,13
East England,PE19 2,1996,45000,175,-12
East England,PE19 5,1996,85000,140,15
East England,PE19 6,1996,78000,127,1
East England,PE19 7,1996,68000,121,-7
East England,PE19 8,1996,54000,184,-4
East England,PE2 5,1996,48000,251,-2
East England,PE2 6,1996,66000,72,5
East England,PE2 7,1996,63000,93,-7
East England,PE2 8,1996,54000,292,8
East England,PE2 9,1996,38000,200,3
East England,PE20 1,1996,55000,68,2
East England,PE20 2,1996,46000,27,-6
East England,PE20 3,1996,48000,77,2
East England,PE21 0,1996,43000,153,7
East England,PE21 6,1996,33000,52,18
East England,PE21 7,1996,44000,135,2
East England,PE21 8,1996,32000,182,-3
East England,PE21 9,1996,52000,176,16
East England,PE22 0,1996,54000,195,2
East England,PE22 7,1996,51000,50,6
East England,PE22 8,1996,47000,41,24
East England,PE22 9,1996,52000,48,13
East England,PE23 4,1996,66000,47,22
East England,PE23 5,1996,50000,99,14
East England,PE24 4,1996,50000,53,-2
East England,PE24 5,1996,40000,184,-7
East England,PE25 1,1996,46000,142,12
East England,PE25 2,1996,40000,162,-5
East England,PE25 3,1996,50000,173,2
East England,PE26 1,1996,56000,145,-8
East England,PE26 2,1996,73000,117,14
East England,PE27 3,1996,60000,288,0
East England,PE27 4,1996,77000,62,-8
East England,PE27 5,1996,62000,97,-18
East England,PE27 6,1996,64000,89,0
East England,PE28 0,1996,97000,137,10
East England,PE28 2,1996,79000,128,3
East England,PE28 3,1996,70000,246,6
East England,PE28 4,1996,79000,262,4
East England,PE28 5,1996,63000,172,2
East England,PE28 9,1996,90000,116,-11
East England,PE29 1,1996,67000,238,-1
East England,PE29 2,1996,67000,158,-11
East England,PE29 3,1996,45000,52,2
East England,PE29 6,1996,71000,220,-12
East England,PE29 7,1996,35000,48,3
East England,PE3 6,1996,73000,126,11
East England,PE3 7,1996,29000,49,-3
East England,PE3 8,1996,40000,93,5
East England,PE3 9,1996,54000,152,-11
East England,PE30 1,1996,42000,45,-5
East England,PE30 2,1996,30000,90,-9
East England,PE30 3,1996,55000,349,6
East England,PE30 4,1996,41000,218,0
East England,PE30 5,1996,35000,139,9
East England,PE31 6,1996,58000,209,0
East England,PE31 7,1996,50000,154,4
East England,PE31 8,1996,76000,136,19
East England,PE32 1,1996,60000,199,3
East England,PE32 2,1996,66000,121,3
East England,PE33 0,1996,56000,180,-5
East England,PE33 9,1996,62000,94,22
East England,PE34 3,1996,47000,69,0
East England,PE34 4,1996,51000,126,4
East England,PE36 5,1996,54000,125,10
East England,PE36 6,1996,71000,103,8
East England,PE37 7,1996,51000,163,-9
East England,PE37 8,1996,56000,52,4
East England,PE38 0,1996,50000,83,4
East England,PE38 9,1996,52000,172,-2
East England,PE4 5,1996,52000,186,6
East England,PE4 6,1996,44000,173,-10
East England,PE4 7,1996,44000,203,-4
East England,PE5 7,1996,88000,28,-32
East England,PE6 0,1996,53000,134,4
East England,PE6 7,1996,68000,163,17
East England,PE6 8,1996,58000,365,-3
East England,PE6 9,1996,78000,219,7
East England,PE7 0,1996,34000,4,42
East England,PE7 1,1996,52000,237,2
East England,PE7 2,1996,52000,66,0
East England,PE7 3,1996,56000,286,8
East England,PE8 4,1996,79000,105,1
East England,PE8 5,1996,124000,40,19
East England,PE8 6,1996,93000,83,-3
East England,PE9 1,1996,50000,171,6
East England,PE9 2,1996,70000,318,8
East England,PE9 3,1996,101000,120,23
East England,PE9 4,1996,84000,146,-1
East Midlands,DE1 1,1996,37000,67,12
East Midlands,DE1 2,1996,34000,23,-23
East Midlands,DE1 3,1996,43000,118,2
East Midlands,DE11 0,1996,43000,225,-2
East Midlands,DE11 7,1996,52000,117,4
East Midlands,DE11 8,1996,39000,77,-7
East Midlands,DE11 9,1996,41000,203,2
East Midlands,DE12 6,1996,45000,96,2
East Midlands,DE12 7,1996,64000,193,23
East Midlands,DE12 8,1996,79000,44,-5
East Midlands,DE13 0,1996,49000,250,4
East Midlands,DE13 7,1996,83000,92,-8
East Midlands,DE13 8,1996,80000,103,-6
East Midlands,DE13 9,1996,68000,142,6
East Midlands,DE14 1,1996,33000,30,0
East Midlands,DE14 2,1996,37000,226,16
East Midlands,DE14 3,1996,43000,273,2
East Midlands,DE15 0,1996,53000,99,-4
East Midlands,DE15 9,1996,49000,206,0
East Midlands,DE21 2,1996,58000,368,2
East Midlands,DE21 4,1996,38000,143,-3
East Midlands,DE21 5,1996,76000,53,-14
East Midlands,DE21 6,1996,34000,188,0
East Midlands,DE21 7,1996,48000,183,2
East Midlands,DE22 1,1996,65000,134,3
East Midlands,DE22 2,1996,69000,256,-1
East Midlands,DE22 3,1996,31000,249,0
East Midlands,DE22 4,1996,47000,66,9
East Midlands,DE22 5,1996,145000,20,-8
East Midlands,DE23 1,1996,49000,187,0
East Midlands,DE23 2,1996,63000,40,7
East Midlands,DE23 3,1996,79000,176,3
East Midlands,DE23 4,1996,86000,38,39
East Midlands,DE23 6,1996,47000,293,2
East Midlands,DE23 8,1996,25000,243,-4
East Midlands,DE24 0,1996,39000,243,-3
East Midlands,DE24 3,1996,48000,150,12
East Midlands,DE24 5,1996,67000,74,-15
East Midlands,DE24 8,1996,25000,197,-7
East Midlands,DE24 9,1996,37000,129,-20
East Midlands,DE3 0,1996,55000,127,0
East Midlands,DE3 9,1996,63000,149,0
East Midlands,DE4 2,1996,79000,162,13
East Midlands,DE4 3,1996,63000,218,12
East Midlands,DE4 4,1996,63000,94,3
East Midlands,DE4 5,1996,84000,92,2
East Midlands,DE45 1,1996,89000,158,-7
East Midlands,DE5 3,1996,45000,248,-4
East Midlands,DE5 8,1996,46000,59,0
East Midlands,DE5 9,1996,39000,71,-3
East Midlands,DE55 1,1996,47000,150,-2
East Midlands,DE55 2,1996,41000,132,-2
East Midlands,DE55 3,1996,46000,73,0
East Midlands,DE55 4,1996,37000,114,9
East Midlands,DE55 5,1996,38000,117,-3
East Midlands,DE55 6,1996,52000,85,2
East Midlands,DE55 7,1996,38000,132,3
East Midlands,DE56 0,1996,56000,254,0
East Midlands,DE56 1,1996,52000,358,8
East Midlands,DE56 2,1996,65000,144,-8
East Midlands,DE56 4,1996,94000,126,-9
East Midlands,DE6 1,1996,82000,190,5
East Midlands,DE6 2,1996,97000,68,9
East Midlands,DE6 3,1996,103000,56,6
East Midlands,DE6 4,1996,131000,7,5
East Midlands,DE6 5,1996,84000,67,-5
East Midlands,DE65 5,1996,65000,302,-3
East Midlands,DE65 6,1996,77000,182,5
East Midlands,DE7 4,1996,39000,138,3
East Midlands,DE7 5,1996,38000,144,3
East Midlands,DE7 6,1996,55000,184,2
East Midlands,DE7 8,1996,40000,208,5
East Midlands,DE7 9,1996,59000,167,16
East Midlands,DE72 2,1996,71000,48,13
East Midlands,DE72 3,1996,67000,285,3
East Midlands,DE73 1,1996,116000,3,-14
East Midlands,DE73 5,1996,50000,42,2
East Midlands,DE73 6,1996,58000,154,-3
East Midlands,DE73 7,1996,111000,29,26
East Midlands,DE73 8,1996,70000,154,3
East Midlands,DE74 2,1996,63000,174,-12
East Midlands,DE75 7,1996,42000,268,14
East Midlands,DN1 1,1996,46000,7,171
East Midlands,DN1 2,1996,25000,101,-7
East Midlands,DN1 3,1996,24000,12,-40
East Midlands,DN10 4,1996,55000,86,-11
East Midlands,DN10 5,1996,93000,17,-1
East Midlands,DN10 6,1996,75000,69,-5
East Midlands,DN11 0,1996,39000,185,15
East Midlands,DN11 8,1996,35000,100,9
East Midlands,DN11 9,1996,68000,122,5
East Midlands,DN12 1,1996,32000,116,-18
East Midlands,DN12 2,1996,50000,77,2
East Midlands,DN12 3,1996,35000,85,17
East Midlands,DN12 4,1996,59000,12,37
East Midlands,DN14 0,1996,55000,99,-15
East Midlands,DN14 5,1996,37000,109,9
East Midlands,DN14 6,1996,33000,182,-8
East Midlands,DN14 7,1996,62000,102,5
