region,postcode_sector,year,avg_price,volume,delta
East England,PE1 1,1998,49000,21,-6
East England,PE1 2,1998,42000,166,11
East England,PE1 3,1998,47000,239,4
East England,PE1 4,1998,56000,210,8
East England,PE1 5,1998,39000,137,5
East England,PE10 0,1998,77000,251,4
East England,PE10 9,1998,69000,346,11
East England,PE11 1,1998,54000,284,6
East England,PE11 2,1998,53000,218,15
East England,PE11 3,1998,61000,351,2
East England,PE11 4,1998,56000,179,6
East England,PE12 0,1998,64000,111,12
East England,PE12 6,1998,61000,157,2
East England,PE12 7,1998,54000,223,10
East England,PE12 8,1998,56000,101,8
East England,PE12 9,1998,51000,240,9
East England,PE13 1,1998,50000,86,16
East England,PE13 2,1998,47000,180,2
East England,PE13 3,1998,41000,210,0
East England,PE13 4,1998,61000,111,15
East England,PE13 5,1998,60000,125,9
East England,PE14 0,1998,56000,147,10
East England,PE14 7,1998,59000,113,7
East England,PE14 8,1998,60000,97,9
East England,PE14 9,1998,57000,81,-8
East England,PE15 0,1998,65000,206,10
East England,PE15 8,1998,48000,262,17
East England,PE15 9,1998,54000,262,-2
East England,PE16 6,1998,49000,299,4
East England,PE17 5,1998,25000,1,-76
East England,PE19 1,1998,83000,182,2
East England,PE19 2,1998,59000,211,9
East England,PE19 5,1998,116000,114,21
East England,PE19 6,1998,92000,122,6
East England,PE19 7,1998,78000,117,10
East England,PE19 8,1998,73000,244,22
East England,PE2 5,1998,51000,379,4
East England,PE2 6,1998,77000,167,3
East England,PE2 7,1998,71000,94,1
East England,PE2 8,1998,59000,408,4
East England,PE2 9,1998,42000,174,11
East England,PE20 1,1998,55000,86,-2
East England,PE20 2,1998,49000,39,0
East England,PE20 3,1998,56000,74,-3
East England,PE21 0,1998,44000,196,0
East England,PE21 6,1998,41000,79,14
East England,PE21 7,1998,50000,151,2
East England,PE21 8,1998,37000,189,6
East England,PE21 9,1998,57000,186,12
East England,PE22 0,1998,58000,147,0
East England,PE22 7,1998,54000,60,-5
East England,PE22 8,1998,59000,57,20
East England,PE22 9,1998,66000,62,18
East England,PE23 4,1998,64000,60,3
East England,PE23 5,1998,54000,129,4
East England,PE24 4,1998,55000,68,17
East England,PE24 5,1998,46000,214,0
East England,PE25 1,1998,53000,147,8
East England,PE25 2,1998,52000,159,18
East England,PE25 3,1998,61000,154,11
East England,PE26 1,1998,71000,130,18
East England,PE26 2,1998,59000,182,-12
East England,PE27 3,1998,60000,277,11
East England,PE27 4,1998,102000,50,16
East England,PE27 5,1998,84000,131,27
East England,PE27 6,1998,76000,84,21
East England,PE28 0,1998,122000,120,23
East England,PE28 2,1998,97000,141,15
East England,PE28 3,1998,89000,244,19
East England,PE28 4,1998,90000,176,20
East England,PE28 5,1998,78000,213,16
East England,PE28 9,1998,127000,133,11
East England,PE29 1,1998,69000,174,-1
East England,PE29 2,1998,85000,208,8
East England,PE29 3,1998,58000,63,4
East England,PE29 6,1998,87000,216,12
East England,PE29 7,1998,42000,57,14
East England,PE3 6,1998,80000,110,13
East England,PE3 7,1998,31000,63,3
East England,PE3 8,1998,39000,126,0
East England,PE3 9,1998,60000,151,5
East England,PE30 1,1998,440000,55,900
East England,PE30 2,1998,35000,90,3
East England,PE30 3,1998,62000,344,5
East England,PE30 4,1998,43000,244,0
East England,PE30 5,1998,36000,142,-5
East England,PE31 6,1998,69000,213,3
East England,PE31 7,1998,60000,233,2
