year,region,property_type,avg_price,volume
1999,South East,S,102000,49668
1999,South East,T,82000,54129
1999,South West,D,137000,44502
1999,South West,F,65000,19307
1999,South West,S,79000,33396
1999,South West,T,66000,43327
1999,Wales,D,95000,16887
1999,Wales,F,51000,2459
1999,Wales,S,56000,15114
1999,Wales,T,43000,18299
1999,West Midlands,D,126000,31967
1999,West Midlands,F,51000,8325
1999,West Midlands,S,65000,39065
1999,West Midlands,T,51000,34250
2000,East England,D,109000,9000
2000,East England,F,45000,1122
2000,East England,S,64000,5802
2000,East England,T,51000,5211
2000,East Midlands,D,106000,34218
2000,East Midlands,F,55000,3412
2000,East Midlands,S,55000,36323
2000,East Midlands,T,42000,28102
2000,East of England,D,178000,30084
2000,East of England,F,67000,14833
2000,East of England,S,103000,29867
2000,East of England,T,84000,29802
2000,Greater London,D,375000,12171
2000,Greater London,F,156000,85732
2000,Greater London,S,195000,29783
2000,Greater London,T,185000,53525
2000,North East,D,116000,23787
2000,North East,F,55000,9131
2000,North East,S,62000,32505
2000,North East,T,47000,32458
2000,North West,D,125000,33706
2000,North West,F,65000,10904
2000,North West,S,65000,55791
2000,North West,T,42000,59824
2000,South East,D,226000,44105
2000,South East,F,80000,33557
2000,South East,S,122000,43113
2000,South East,T,98000,47993
2000,South West,D,163000,37867
2000,South West,F,73000,18244
2000,South West,S,93000,29479
2000,South West,T,77000,39567
2000,Wales,D,104000,17471
2000,Wales,F,56000,2896
2000,Wales,S,60000,15484
2000,Wales,T,47000,19930
2000,West Midlands,D,143000,29630
2000,West Midlands,F,57000,8822
2000,West Midlands,S,72000,38368
2000,West Midlands,T,56000,34427
2001,East England,D,125000,9836
2001,East England,F,50000,1349
2001,East England,S,73000,6321
2001,East England,T,61000,5902
2001,East Midlands,D,118000,37435
2001,East Midlands,F,66000,4158
2001,East Midlands,S,61000,40225
2001,East Midlands,T,45000,32468
2001,East of England,D,198000,34258
2001,East of England,F,75000,15935
2001,East of England,S,117000,33295
2001,East of England,T,97000,33270
2001,Greater London,D,400000,13373
2001,Greater London,F,172000,88321
2001,Greater London,S,214000,34654
2001,Greater London,T,196000,61548
2001,North East,D,128000,24717
2001,North East,F,62000,10474
2001,North East,S,68000,35509
2001,North East,T,51000,38405
2001,North West,D,140000,35552
2001,North West,F,74000,12221
2001,North West,S,71000,60336
2001,North West,T,45000,65815
2001,South East,D,246000,48138
2001,South East,F,94000,36128
2001,South East,S,137000,49270
2001,South East,T,110000,54057
2001,South West,D,181000,41418
2001,South West,F,86000,20381
2001,South West,S,106000,32862
2001,South West,T,89000,43351
2001,Wales,D,116000,18875
2001,Wales,F,68000,3504
2001,Wales,S,66000,17409
2001,Wales,T,51000,22330
2001,West Midlands,D,160000,31732
2001,West Midlands,F,70000,10742
2001,West Midlands,S,81000,40578
2001,West Midlands,T,63000,38059
2002,East England,D,147000,11067
2002,East England,F,64000,1511
2002,East England,S,90000,6794
2002,East England,T,75000,6183
2002,East Midlands,D,143000,38559
2002,East Midlands,F,78000,5376
2002,East Midlands,S,74000,42683
2002,East Midlands,T,55000,36843
2002,East of England,D,233000,34787
2002,East of England,F,98000,18018
2002,East of England,S,141000,34119
2002,East of England,T,118000,33977
2002,Greater London,D,435000,14520
2002,Greater London,F,196000,95238
2002,Greater London,S,245000,36933
2002,Greater London,T,226000,65101
2002,North East,D,155000,25745
2002,North East,F,76000,13440
2002,North East,S,82000,37590
2002,North East,T,60000,44717
2002,North West,D,165000,37748
2002,North West,F,90000,17234
2002,North West,S,84000,65692
2002,North West,T,52000,79444
2002,South East,D,281000,51425
2002,South East,F,112000,39532
2002,South East,S,160000,51849
2002,South East,T,132000,56743
2002,South West,D,215000,43013
2002,South West,F,107000,22788
2002,South West,S,129000,33439
2002,South West,T,110000,44221
2002,Wales,D,137000,20947
2002,Wales,F,84000,4437
2002,Wales,S,77000,19413
2002,Wales,T,59000,24902
2002,West Midlands,D,186000,34586
2002,West Midlands,F,83000,12604
2002,West Midlands,S,96000,44366
2002,West Midlands,T,75000,42385
2003,East England,D,177000,9324
2003,East England,F,74000,1285
2003,East England,S,112000,6080
2003,East England,T,93000,5753
2003,East Midlands,D,178000,32960
2003,East Midlands,F,97000,6991
2003,East Midlands,S,95000,39573
2003,East Midlands,T,71000,35816
2003,East of England,D,265000,29814
2003,East of England,F,115000,17034
2003,East of England,S,165000,30375
2003,East of England,T,139000,31114
2003,Greater London,D,479000,11630
2003,Greater London,F,210000,83002
2003,Greater London,S,270000,31673
2003,Greater London,T,246000,56099
2003,North East,D,190000,23069
2003,North East,F,95000,15367
2003,North East,S,103000,35368
2003,North East,T,73000,45713
2003,North West,D,197000,34246
2003,North West,F,104000,19370
2003,North West,S,104000,62460
2003,North West,T,64000,81187
2003,South East,D,316000,42547
2003,South East,F,128000,35511
2003,South East,S,184000,45305
2003,South East,T,152000,49675
2003,South West,D,255000,35831
2003,South West,F,125000,21803
2003,South West,S,153000,30286
2003,South West,T,132000,39462
2003,Wales,D,165000,19244
2003,Wales,F,97000,4348
2003,Wales,S,95000,18318
2003,Wales,T,73000,23946
2003,West Midlands,D,220000,28914
2003,West Midlands,F,102000,13364
2003,West Midlands,S,117000,40302
2003,West Midlands,T,92000,39527
2004,East England,D,196000,9323
2004,East England,F,92000,1402
2004,East England,S,128000,6273
2004,East England,T,110000,5539
2004,East Midlands,D,204000,32178
2004,East Midlands,F,111000,7501
2004,East Midlands,S,115000,38922
2004,East Midlands,T,89000,33487
2004,East of England,D,287000,30943
2004,East of England,F,128000,16484
2004,East of England,S,183000,31228
2004,East of England,T,155000,30997
2004,Greater London,D,520000,12293
2004,Greater London,F,231000,89250
2004,Greater London,S,294000,32322
2004,Greater London,T,271000,57556
2004,North East,D,223000,22233
2004,North East,F,113000,15064
2004,North East,S,126000,33782
2004,North East,T,91000,44669
2004,North West,D,233000,31805
2004,North West,F,123000,21256
2004,North West,S,128000,59013
2004,North West,T,82000,80041
2004,South East,D,340000,45057
2004,South East,F,143000,37887
2004,South East,S,202000,46982
2004,South East,T,168000,49646
2004,South West,D,282000,35779
2004,South West,F,141000,22604
2004,South West,S,174000,29942
2004,South West,T,152000,38042
2004,Wales,D,199000,17164
2004,Wales,F,118000,4492
2004,Wales,S,122000,16276
2004,Wales,T,94000,21390
2004,West Midlands,D,245000,28119
2004,West Midlands,F,116000,14014
2004,West Midlands,S,136000,40789
2004,West Midlands,T,110000,38685
2005,East England,D,214000,7200
2005,East England,F,104000,1309
2005,East England,S,138000,5487
2005,East England,T,118000,4789
2005,East Midlands,D,220000,25367
2005,East Midlands,F,117000,7233
2005,East Midlands,S,125000,34205
2005,East Midlands,T,100000,29493
2005,East of England,D,305000,26041
2005,East of England,F,139000,16009
2005,East of England,S,190000,27283
2005,East of England,T,162000,27029
2005,Greater London,D,549000,10679
2005,Greater London,F,241000,77928
2005,Greater London,S,311000,27864
2005,Greater London,T,289000,49312
2005,North East,D,244000,17153
2005,North East,F,119000,14373
2005,North East,S,138000,29132
2005,North East,T,103000,38582
2005,North West,D,257000,23918
2005,North West,F,132000,21412
2005,North West,S,141000,48002
2005,North West,T,94000,67392
2005,South East,D,358000,37281
2005,South East,F,152000,34337
2005,South East,S,210000,39926
2005,South East,T,176000,43800
2005,South West,D,297000,29736
2005,South West,F,145000,20459
2005,South West,S,184000,26508
2005,South West,T,159000,34461
2005,Wales,D,219000,13285
2005,Wales,F,131000,4235
2005,Wales,S,133000,13971
2005,Wales,T,106000,18597
2005,West Midlands,D,261000,22115
2005,West Midlands,F,124000,14328
2005,West Midlands,S,145000,35241
2005,West Midlands,T,118000,34687
2006,East England,D,220000,9207
2006,East England,F,112000,1819
2006,East England,S,145000,6992
2006,East England,T,126000,5868
2006,East Midlands,D,227000,31710
2006,East Midlands,F,120000,9851
2006,East Midlands,S,132000,41776
2006,East Midlands,T,106000,34408
2006,East of England,D,322000,33681
2006,East of England,F,148000,20474
2006,East of England,S,202000,34313
2006,East of England,T,172000,33330
2006,Greater London,D,595000,14346
2006,Greater London,F,259000,98213
2006,Greater London,S,335000,35071
2006,Greater London,T,315000,61192
2006,North East,D,256000,21972
2006,North East,F,126000,17397
2006,North East,S,147000,37445
2006,North East,T,114000,45401
2006,North West,D,270000,30039
2006,North West,F,138000,26769
2006,North West,S,151000,61177
2006,North West,T,105000,77608
2006,South East,D,380000,48742
2006,South East,F,159000,43791
2006,South East,S,222000,50630
2006,South East,T,186000,54274
2006,South West,D,311000,39474
2006,South West,F,153000,27301
2006,South West,S,193000,33833
2006,South West,T,170000,43811
2006,Wales,D,231000,16862
2006,Wales,F,133000,5304
2006,Wales,S,144000,18340
2006,Wales,T,114000,22444
2006,West Midlands,D,274000,28140
2006,West Midlands,F,127000,17456
2006,West Midlands,S,153000,43159
2006,West Midlands,T,127000,41057
2007,East England,D,234000,8709
2007,East England,F,119000,1827
2007,East England,S,155000,6591
2007,East England,T,134000,5596
2007,East Midlands,D,241000,30164
2007,East Midlands,F,123000,10412
2007,East Midlands,S,139000,40991
2007,East Midlands,T,113000,33152
2007,East of England,D,354000,30814
2007,East of England,F,157000,22308
2007,East of England,S,219000,32556
2007,East of England,T,186000,31142
2007,Greater London,D,670000,13684
2007,Greater London,F,288000,98395
2007,Greater London,S,372000,32668
2007,Greater London,T,355000,56922
2007,North East,D,271000,20986
2007,North East,F,129000,17993
2007,North East,S,153000,36944
2007,North East,T,121000,43648
2007,North West,D,288000,28204
2007,North West,F,140000,28083
2007,North West,S,161000,58752
2007,North West,T,115000,74589
2007,South East,D,422000,44984
2007,South East,F,169000,45680
2007,South East,S,244000,46884
2007,South East,T,203000,51498
2007,South West,D,343000,35976
2007,South West,F,164000,27962
2007,South West,S,212000,30531
2007,South West,T,185000,39283
2007,Wales,D,246000,16022
2007,Wales,F,138000,6319
2007,Wales,S,151000,17214
2007,Wales,T,121000,20534
2007,West Midlands,D,291000,25775
2007,West Midlands,F,130000,17203
2007,West Midlands,S,161000,40455
2007,West Midlands,T,133000,39539
2008,East England,D,231000,4292
2008,East England,F,109000,1054
2008,East England,S,150000,3295
2008,East England,T,135000,2834
2008,East Midlands,D,236000,15983
2008,East Midlands,F,114000,6193
2008,East Midlands,S,135000,21790
2008,East Midlands,T,110000,17879
2008,East of England,D,359000,15580
2008,East of England,F,152000,11490
2008,East of England,S,217000,16362
2008,East of England,T,184000,15187
2008,Greater London,D,712000,6381
2008,Greater London,F,297000,49710
2008,Greater London,S,378000,15935
2008,Greater London,T,360000,26871
2008,North East,D,277000,10287
2008,North East,F,125000,9334
2008,North East,S,150000,18745
2008,North East,T,120000,21909
2008,North West,D,289000,14395
2008,North West,F,131000,14483
2008,North West,S,156000,28808
2008,North West,T,114000,36661
2008,South East,D,429000,23172
2008,South East,F,168000,24108
2008,South East,S,238000,24119
2008,South East,T,201000,25616
2008,South West,D,336000,18787
2008,South West,F,161000,15234
2008,South West,S,205000,15273
2008,South West,T,180000,20361
2008,Wales,D,240000,8464
2008,Wales,F,132000,3881
2008,Wales,S,147000,9242
2008,Wales,T,116000,10872
2008,West Midlands,D,288000,13537
2008,West Midlands,F,122000,9668
2008,West Midlands,S,157000,20805
2008,West Midlands,T,130000,20188
2009,East England,D,209000,5003
2009,East England,F,104000,888
2009,East England,S,139000,3245
2009,East England,T,125000,2342
2009,East Midlands,D,219000,17337
2009,East Midlands,F,108000,3972
2009,East Midlands,S,129000,19978
2009,East Midlands,T,105000,14294
2009,East of England,D,323000,19074
2009,East of England,F,142000,9526
2009,East of England,S,200000,18846
2009,East of England,T,172000,16348
2009,Greater London,D,638000,7337
2009,Greater London,F,297000,42093
2009,Greater London,S,356000,16834
2009,Greater London,T,360000,26750
2009,North East,D,255000,10816
2009,North East,F,118000,6612
2009,North East,S,144000,17955
2009,North East,T,118000,16880
2009,North West,D,268000,14584
2009,North West,F,122000,9875
2009,North West,S,149000,27624
2009,North West,T,108000,27406
2009,South East,D,387000,27795
2009,South East,F,155000,20669
2009,South East,S,221000,27815
2009,South East,T,187000,27094
2009,South West,D,306000,23314
2009,South West,F,153000,13415
2009,South West,S,189000,18561
2009,South West,T,168000,22296
2009,Wales,D,227000,9121
2009,Wales,F,127000,3218
2009,Wales,S,142000,9033
2009,Wales,T,111000,9324
2009,West Midlands,D,263000,14459
2009,West Midlands,F,114000,6553
2009,West Midlands,S,149000,19494
2009,West Midlands,T,124000,16847
2010,East England,D,225000,5129
2010,East England,F,104000,845
2010,East England,S,146000,3034
2010,East England,T,129000,2449
2010,East Midlands,D,231000,18330
2010,East Midlands,F,107000,3779
2010,East Midlands,S,131000,20924
2010,East Midlands,T,107000,15028
2010,East of England,D,363000,20722
2010,East of England,F,149000,9707
2010,East of England,S,219000,19402
2010,East of England,T,186000,16703
2010,Greater London,D,719000,8998
2010,Greater London,F,327000,51825
2010,Greater London,S,399000,20127
2010,Greater London,T,417000,30904
2010,North East,D,269000,11457
2010,North East,F,119000,6099
2010,North East,S,149000,18217
2010,North East,T,123000,17971
2010,North West,D,280000,15836
2010,North West,F,120000,9367
2010,North West,S,154000,28354
2010,North West,T,109000,29853
2010,South East,D,429000,30138
2010,South East,F,168000,20451
2010,South East,S,246000,28212
2010,South East,T,205000,27589
2010,South West,D,331000,24138
2010,South West,F,161000,13242
2010,South West,S,206000,18508
2010,South West,T,183000,22527
2010,Wales,D,233000,9721
2010,Wales,F,124000,2713
2010,Wales,S,145000,9529
2010,Wales,T,113000,10400
2010,West Midlands,D,283000,15745
2010,West Midlands,F,114000,6832
2010,West Midlands,S,156000,20253
2010,West Midlands,T,128000,17531
2011,East England,D,219000,5393
2011,East England,F,99000,817
2011,East England,S,144000,3397
2011,East England,T,128000,2630
2011,East Midlands,D,223000,18271
2011,East Midlands,F,106000,3458
2011,East Midlands,S,128000,21319
2011,East Midlands,T,104000,15336
2011,East of England,D,352000,20088
2011,East of England,F,151000,9506
2011,East of England,S,218000,19221
2011,East of England,T,186000,17616
2011,Greater London,D,718000,8796
2011,Greater London,F,340000,50390
2011,Greater London,S,409000,19583
2011,Greater London,T,427000,31055
2011,North East,D,261000,11485
2011,North East,F,116000,5969
2011,North East,S,144000,19246
2011,North East,T,117000,18624
2011,North West,D,270000,15820
2011,North West,F,116000,8914
2011,North West,S,150000,29083
2011,North West,T,106000,29643
2011,South East,D,424000,28805
2011,South East,F,164000,20307
2011,South East,S,243000,28043
2011,South East,T,202000,27989
2011,South West,D,328000,23077
2011,South West,F,158000,12791
2011,South West,S,200000,18565
2011,South West,T,178000,22096
2011,Wales,D,229000,9470
2011,Wales,F,122000,2584
2011,Wales,S,141000,9347
2011,Wales,T,112000,10445
2011,West Midlands,D,275000,15775
2011,West Midlands,F,111000,6373
2011,West Midlands,S,151000,21036
2011,West Midlands,T,126000,18174
2012,East England,D,218000,5360
2012,East England,F,100000,725
2012,East England,S,142000,3231
2012,East England,T,134000,2698
2012,East Midlands,D,223000,19210
2012,East Midlands,F,100000,3518
2012,East Midlands,S,128000,20766
2012,East Midlands,T,108000,15418
2012,East of England,D,355000,20007
2012,East of England,F,151000,9576
2012,East of England,S,225000,18641
2012,East of England,T,192000,18595
2012,Greater London,D,718000,8698
2012,Greater London,F,358000,54136
2012,Greater London,S,424000,19168
2012,Greater London,T,449000,31834
2012,North East,D,255000,12154
2012,North East,F,112000,5580
2012,North East,S,145000,18988
2012,North East,T,120000,18069
2012,North West,D,263000,16742
2012,North West,F,114000,8283
2012,North West,S,150000,28339
2012,North West,T,108000,28996
2012,South East,D,422000,30101
2012,South East,F,168000,20318
2012,South East,S,248000,26843
2012,South East,T,210000,30226
