year,region,property_type,avg_price,volume
2018,East of England,F,213000,15460
2018,East of England,S,326000,23495
2018,East of England,T,276000,22364
2018,Greater London,D,980000,8958
2018,Greater London,F,524000,64381
2018,Greater London,S,596000,19377
2018,Greater London,T,615000,32406
2018,North East,D,299000,21507
2018,North East,F,131000,10128
2018,North East,S,168000,30336
2018,North East,T,132000,29292
2018,North West,D,320000,29991
2018,North West,F,136000,18457
2018,North West,S,182000,48542
2018,North West,T,126000,50905
2018,South East,D,560000,36290
2018,South East,F,224000,31196
2018,South East,S,350000,34331
2018,South East,T,295000,35271
2018,South West,D,416000,32201
2018,South West,F,198000,20342
2018,South West,S,268000,26026
2018,South West,T,236000,30723
2018,Wales,D,275000,16120
2018,Wales,F,139000,4591
2018,Wales,S,167000,15156
2018,Wales,T,132000,17607
2018,West Midlands,D,354000,26853
2018,West Midlands,F,148000,12943
2018,West Midlands,S,201000,33926
2018,West Midlands,T,167000,28524
2019,East England,D,307000,7301
2019,East England,F,142000,1314
2019,East England,S,203000,4851
2019,East England,T,181000,3725
2019,East Midlands,D,294000,29752
2019,East Midlands,F,122000,6524
2019,East Midlands,S,169000,33397
2019,East Midlands,T,133000,24500
2019,East of England,D,477000,25829
2019,East of England,F,214000,13835
2019,East of England,S,325000,23071
2019,East of England,T,276000,21377
2019,Greater London,D,974000,8928
2019,Greater London,F,521000,61042
2019,Greater London,S,597000,19603
2019,Greater London,T,613000,31856
2019,North East,D,305000,21524
2019,North East,F,133000,9334
2019,North East,S,171000,30923
2019,North East,T,133000,29481
2019,North West,D,325000,29860
2019,North West,F,142000,18171
2019,North West,S,186000,48492
2019,North West,T,129000,50073
2019,South East,D,560000,36393
2019,South East,F,224000,28653
2019,South East,S,348000,33940
2019,South East,T,294000,33904
2019,South West,D,421000,31113
2019,South West,F,203000,18425
2019,South West,S,269000,25405
2019,South West,T,236000,29043
2019,Wales,D,282000,15383
2019,Wales,F,145000,4423
2019,Wales,S,172000,15104
2019,Wales,T,136000,17546
2019,West Midlands,D,357000,25755
2019,West Midlands,F,159000,11859
2019,West Midlands,S,204000,33220
2019,West Midlands,T,169000,27804
2020,East England,D,321000,6781
2020,East England,F,141000,960
2020,East England,S,214000,4133
2020,East England,T,183000,2990
2020,East Midlands,D,313000,27426
2020,East Midlands,F,127000,5029
2020,East Midlands,S,177000,28612
2020,East Midlands,T,139000,20598
2020,East of England,D,498000,25380
2020,East of England,F,215000,10943
2020,East of England,S,338000,21380
2020,East of England,T,288000,18739
2020,Greater London,D,1032000,8953
2020,Greater London,F,554000,53326
2020,Greater London,S,626000,18686
2020,Greater London,T,658000,29535
2020,North East,D,322000,20127
2020,North East,F,130000,8065
2020,North East,S,181000,26500
2020,North East,T,137000,26210
2020,North West,D,343000,27818
2020,North West,F,159000,14949
2020,North West,S,197000,42392
2020,North West,T,137000,43397
2020,South East,D,596000,36210
2020,South East,F,224000,22795
2020,South East,S,365000,31535
2020,South East,T,304000,29905
2020,South West,D,450000,30313
2020,South West,F,208000,14877
2020,South West,S,284000,22327
2020,South West,T,250000,25011
2020,Wales,D,300000,13206
2020,Wales,F,142000,3131
2020,Wales,S,182000,12164
2020,Wales,T,141000,13900
2020,West Midlands,D,377000,23214
2020,West Midlands,F,152000,9540
2020,West Midlands,S,216000,28320
2020,West Midlands,T,176000,22894
2021,East England,D,344000,10350
2021,East England,F,144000,1435
2021,East England,S,227000,6100
2021,East England,T,199000,4525
2021,East Midlands,D,336000,37768
2021,East Midlands,F,139000,6692
2021,East Midlands,S,192000,38679
2021,East Midlands,T,153000,28078
2021,East of England,D,537000,36539
2021,East of England,F,221000,16558
2021,East of England,S,360000,31568
2021,East of England,T,307000,28766
2021,Greater London,D,1115000,13020
2021,Greater London,F,520000,75464
2021,Greater London,S,668000,27694
2021,Greater London,T,677000,45973
2021,North East,D,354000,26708
2021,North East,F,142000,11243
2021,North East,S,194000,35740
2021,North East,T,149000,36827
2021,North West,D,379000,36875
2021,North West,F,170000,20290
2021,North West,S,216000,57482
2021,North West,T,151000,60502
2021,South East,D,639000,51756
2021,South East,F,238000,35887
2021,South East,S,388000,45310
2021,South East,T,325000,46064
2021,South West,D,492000,42162
2021,South West,F,222000,23477
2021,South West,S,305000,30991
2021,South West,T,274000,36775
2021,Wales,D,336000,19030
2021,Wales,F,150000,4510
2021,Wales,S,201000,17002
2021,Wales,T,157000,20276
2021,West Midlands,D,406000,32481
2021,West Midlands,F,154000,12214
2021,West Midlands,S,233000,39255
2021,West Midlands,T,194000,32542
2022,East England,D,380000,6579
2022,East England,F,143000,1355
2022,East England,S,245000,4443
2022,East England,T,212000,3456
2022,East Midlands,D,361000,25713
2022,East Midlands,F,140000,6066
2022,East Midlands,S,208000,31070
2022,East Midlands,T,163000,24112
2022,East of England,D,592000,24214
2022,East of England,F,226000,14202
2022,East of England,S,390000,22271
2022,East of England,T,329000,21205
2022,Greater London,D,1241000,9370
2022,Greater London,F,550000,57294
2022,Greater London,S,732000,20525
2022,Greater London,T,773000,33903
2022,North East,D,381000,17874
2022,North East,F,141000,9814
2022,North East,S,204000,28037
2022,North East,T,152000,31165
2022,North West,D,411000,24276
2022,North West,F,165000,16798
2022,North West,S,232000,44457
2022,North West,T,158000,50982
2022,South East,D,711000,33932
2022,South East,F,241000,29009
2022,South East,S,426000,31712
2022,South East,T,353000,33317
2022,South West,D,554000,27072
2022,South West,F,221000,19088
2022,South West,S,340000,21994
2022,South West,T,297000,26877
2022,Wales,D,370000,13156
2022,Wales,F,152000,4256
2022,Wales,S,221000,13667
2022,Wales,T,171000,17394
2022,West Midlands,D,443000,21257
2022,West Midlands,F,154000,11025
2022,West Midlands,S,253000,29836
2022,West Midlands,T,207000,26422
2023,East England,D,367000,2409
2023,East England,F,142000,499
2023,East England,S,244000,1740
2023,East England,T,210000,1414
2023,East Midlands,D,365000,9147
2023,East Midlands,F,138000,2514
2023,East Midlands,S,208000,12808
2023,East Midlands,T,159000,10580
2023,East of England,D,596000,8366
2023,East of England,F,214000,5274
2023,East of England,S,388000,8784
2023,East of England,T,320000,8626
2023,Greater London,D,1244000,3746
2023,Greater London,F,526000,21510
2023,Greater London,S,756000,8545
2023,Greater London,T,738000,13963
2023,North East,D,384000,6620
2023,North East,F,136000,4236
2023,North East,S,206000,12169
2023,North East,T,152000,14048
2023,North West,D,422000,9138
2023,North West,F,147000,6383
2023,North West,S,231000,18242
2023,North West,T,155000,22691
2023,South East,D,717000,12624
2023,South East,F,232000,10913
2023,South East,S,421000,12656
2023,South East,T,349000,13660
2023,South West,D,555000,10959
2023,South West,F,216000,7475
2023,South West,S,338000,9374
2023,South West,T,292000,11985
2023,Wales,D,366000,4986
2023,Wales,F,148000,1791
2023,Wales,S,221000,5750
2023,Wales,T,167000,7635
2023,West Midlands,D,450000,8017
2023,West Midlands,F,149000,4293
2023,West Midlands,S,251000,12279
2023,West Midlands,T,201000,11417
