region,postcode_sector,year,avg_price,volume
East England,PE1 1,2012,108000,9
East England,PE1 2,2012,102000,57
East England,PE1 3,2012,117000,106
East England,PE1 4,2012,124000,116
East England,PE1 5,2012,110000,116
East England,PE10 0,2012,166000,212
East England,PE10 9,2012,161000,176
East England,PE11 1,2012,147000,125
East England,PE11 2,2012,141000,137
East England,PE11 3,2012,149000,248
East England,PE11 4,2012,158000,96
East England,PE12 0,2012,189000,63
East England,PE12 6,2012,178000,108
East England,PE12 7,2012,130000,108
East England,PE12 8,2012,149000,69
East England,PE12 9,2012,135000,143
East England,PE13 1,2012,135000,44
East England,PE13 2,2012,123000,120
East England,PE13 3,2012,114000,96
East England,PE13 4,2012,149000,88
East England,PE13 5,2012,160000,78
East England,PE14 0,2012,143000,90
East England,PE14 7,2012,160000,64
East England,PE14 8,2012,146000,60
East England,PE14 9,2012,170000,56
East England,PE15 0,2012,160000,132
East England,PE15 8,2012,132000,148
East England,PE15 9,2012,143000,144
East England,PE16 6,2012,144000,211
East England,PE19 1,2012,189000,117
East England,PE19 2,2012,178000,191
East England,PE19 5,2012,283000,84
East England,PE19 6,2012,224000,223
East England,PE19 7,2012,217000,65
East England,PE19 8,2012,186000,92
East England,PE2 5,2012,119000,138
East England,PE2 6,2012,173000,65
East England,PE2 7,2012,193000,41
East England,PE2 8,2012,151000,280
East England,PE2 9,2012,138000,138
East England,PE20 1,2012,151000,56
East England,PE20 2,2012,158000,39
East England,PE20 3,2012,158000,63
East England,PE21 0,2012,124000,87
East England,PE21 6,2012,96000,31
East England,PE21 7,2012,135000,100
East England,PE21 8,2012,100000,123
East England,PE21 9,2012,146000,133
East England,PE22 0,2012,152000,63
East England,PE22 7,2012,169000,42
East England,PE22 8,2012,163000,46
East England,PE22 9,2012,153000,52
East England,PE23 4,2012,209000,24
East England,PE23 5,2012,140000,64
East England,PE24 4,2012,128000,39
East England,PE24 5,2012,125000,96
East England,PE25 1,2012,124000,106
East England,PE25 2,2012,115000,76
East England,PE25 3,2012,177000,57
East England,PE26 1,2012,162000,54
East England,PE26 2,2012,182000,96
East England,PE27 3,2012,179000,119
East England,PE27 4,2012,242000,27
East England,PE27 5,2012,207000,99
East England,PE27 6,2012,206000,113
East England,PE28 0,2012,271000,71
East England,PE28 2,2012,212000,113
East England,PE28 3,2012,217000,141
East England,PE28 4,2012,230000,114
East England,PE28 5,2012,210000,111
East England,PE28 9,2012,331000,98
East England,PE29 1,2012,181000,140
East England,PE29 2,2012,186000,86
East England,PE29 3,2012,130000,68
East England,PE29 6,2012,198000,100
East England,PE29 7,2012,116000,23
East England,PE3 6,2012,215000,63
East England,PE3 7,2012,90000,26
East England,PE3 8,2012,108000,57
East England,PE3 9,2012,166000,116
East England,PE30 1,2012,100000,20
East England,PE30 2,2012,102000,57
East England,PE30 3,2012,172000,198
East England,PE30 4,2012,129000,215
East England,PE30 5,2012,101000,79
East England,PE31 6,2012,199000,109
East England,PE31 7,2012,172000,146
East England,PE31 8,2012,337000,89
East England,PE32 1,2012,188000,112
East England,PE32 2,2012,220000,92
East England,PE33 0,2012,170000,99
East England,PE33 9,2012,189000,70
East England,PE34 3,2012,161000,56
East England,PE34 4,2012,168000,85
East England,PE36 5,2012,173000,86
East England,PE36 6,2012,281000,84
East England,PE37 7,2012,161000,113
East England,PE37 8,2012,191000,44
East England,PE38 0,2012,169000,44
East England,PE38 9,2012,154000,240
East England,PE4 5,2012,136000,73
East England,PE4 6,2012,137000,122
East England,PE4 7,2012,140000,136
East England,PE5 7,2012,291000,21
East England,PE6 0,2012,147000,84
East England,PE6 7,2012,188000,127
East England,PE6 8,2012,179000,223
East England,PE6 9,2012,230000,94
East England,PE7 0,2012,143000,4
East England,PE7 1,2012,143000,131
East England,PE7 2,2012,175000,43
East England,PE7 3,2012,176000,228
East England,PE7 8,2012,174000,177
East England,PE8 4,2012,238000,65
East England,PE8 5,2012,426000,41
East England,PE8 6,2012,238000,93
East England,PE9 1,2012,162000,178
East England,PE9 2,2012,259000,194
East England,PE9 3,2012,384000,95
East England,PE9 4,2012,281000,61
East Midlands,DE1 1,2012,116000,43
East Midlands,DE1 2,2012,113000,12
East Midlands,DE1 3,2012,124000,79
East Midlands,DE11 0,2012,110000,119
East Midlands,DE11 7,2012,146000,143
East Midlands,DE11 8,2012,143000,69
East Midlands,DE11 9,2012,140000,285
East Midlands,DE12 6,2012,156000,87
East Midlands,DE12 7,2012,164000,103
East Midlands,DE12 8,2012,212000,34
East Midlands,DE13 0,2012,165000,269
East Midlands,DE13 7,2012,265000,45
East Midlands,DE13 8,2012,272000,97
East Midlands,DE13 9,2012,220000,119
East Midlands,DE14 1,2012,105000,29
East Midlands,DE14 2,2012,106000,159
East Midlands,DE14 3,2012,112000,139
East Midlands,DE15 0,2012,143000,96
East Midlands,DE15 9,2012,130000,154
East Midlands,DE21 2,2012,148000,151
East Midlands,DE21 4,2012,112000,141
East Midlands,DE21 5,2012,262000,49
East Midlands,DE21 6,2012,110000,133
East Midlands,DE21 7,2012,134000,142
East Midlands,DE22 1,2012,212000,95
East Midlands,DE22 2,2012,213000,197
East Midlands,DE22 3,2012,105000,175
East Midlands,DE22 4,2012,125000,95
East Midlands,DE22 5,2012,483000,18
East Midlands,DE23 1,2012,130000,112
East Midlands,DE23 2,2012,122000,21
East Midlands,DE23 3,2012,226000,70
East Midlands,DE23 4,2012,221000,37
East Midlands,DE23 6,2012,154000,186
East Midlands,DE23 8,2012,84000,165
East Midlands,DE24 0,2012,113000,161
East Midlands,DE24 1,2012,125000,37
East Midlands,DE24 3,2012,119000,73
East Midlands,DE24 5,2012,163000,11
East Midlands,DE24 8,2012,78000,127
East Midlands,DE24 9,2012,109000,104
East Midlands,DE3 0,2012,173000,113
East Midlands,DE3 9,2012,194000,166
East Midlands,DE4 2,2012,240000,113
East Midlands,DE4 3,2012,188000,193
East Midlands,DE4 4,2012,178000,89
East Midlands,DE4 5,2012,214000,56
East Midlands,DE45 1,2012,335000,121
East Midlands,DE5 3,2012,135000,156
East Midlands,DE5 8,2012,144000,46
East Midlands,DE5 9,2012,110000,41
East Midlands,DE55 1,2012,142000,108
East Midlands,DE55 2,2012,102000,72
East Midlands,DE55 3,2012,147000,46
East Midlands,DE55 4,2012,97000,82
East Midlands,DE55 5,2012,104000,67
East Midlands,DE55 6,2012,193000,77
East Midlands,DE55 7,2012,141000,96
East Midlands,DE56 0,2012,167000,171
East Midlands,DE56 1,2012,138000,265
East Midlands,DE56 2,2012,211000,108
East Midlands,DE56 4,2012,328000,83
East Midlands,DE6 1,2012,204000,148
East Midlands,DE6 2,2012,263000,50
East Midlands,DE6 3,2012,287000,35
East Midlands,DE6 4,2012,206000,2
East Midlands,DE6 5,2012,229000,30
East Midlands,DE65 5,2012,185000,176
East Midlands,DE65 6,2012,240000,130
East Midlands,DE7 4,2012,120000,144
East Midlands,DE7 5,2012,116000,136
East Midlands,DE7 6,2012,188000,118
East Midlands,DE7 8,2012,97000,122
East Midlands,DE7 9,2012,122000,35
East Midlands,DE72 2,2012,262000,50
East Midlands,DE72 3,2012,186000,192
East Midlands,DE73 1,2012,475000,3
East Midlands,DE73 5,2012,206000,76
East Midlands,DE73 6,2012,171000,68
East Midlands,DE73 7,2012,321000,21
East Midlands,DE73 8,2012,239000,104
East Midlands,DE74 2,2012,188000,151
East Midlands,DE75 7,2012,117000,183
East Midlands,DN1 1,2012,88000,5
East Midlands,DN1 2,2012,72000,56
East Midlands,DN1 3,2012,55000,6
East Midlands,DN10 4,2012,177000,78
East Midlands,DN10 5,2012,180000,16
