region,postcode_sector,year,avg_price,volume
East England,PE1 1,1995,46000,11
East England,PE1 2,1995,36000,139
East England,PE1 3,1995,42000,220
East England,PE1 4,1995,47000,175
East England,PE1 5,1995,37000,104
East England,PE10 0,1995,61000,154
East England,PE10 9,1995,55000,259
East England,PE11 1,1995,49000,188
East England,PE11 2,1995,43000,161
East England,PE11 3,1995,55000,200
East England,PE11 4,1995,50000,138
East England,PE12 0,1995,52000,61
East England,PE12 6,1995,49000,125
East England,PE12 7,1995,44000,137
East England,PE12 8,1995,48000,59
East England,PE12 9,1995,42000,162
East England,PE13 1,1995,49000,46
East England,PE13 2,1995,43000,141
East England,PE13 3,1995,36000,140
East England,PE13 4,1995,45000,76
East England,PE13 5,1995,49000,71
East England,PE14 0,1995,42000,66
East England,PE14 7,1995,51000,80
East England,PE14 8,1995,50000,76
East England,PE14 9,1995,43000,55
East England,PE15 0,1995,48000,133
East England,PE15 8,1995,41000,174
East England,PE15 9,1995,46000,169
East England,PE16 6,1995,46000,252
East England,PE17 1,1995,65000,1
East England,PE19 1,1995,60000,150
East England,PE19 2,1995,51000,126
East England,PE19 5,1995,74000,93
East England,PE19 6,1995,77000,85
East England,PE19 7,1995,73000,118
East England,PE19 8,1995,56000,161
East England,PE2 5,1995,49000,202
East England,PE2 6,1995,63000,67
East England,PE2 7,1995,68000,80
East England,PE2 8,1995,50000,168
East England,PE2 9,1995,37000,151
East England,PE20 1,1995,54000,74
East England,PE20 2,1995,49000,32
East England,PE20 3,1995,47000,58
East England,PE21 0,1995,40000,142
East England,PE21 6,1995,28000,37
East England,PE21 7,1995,43000,83
East England,PE21 8,1995,33000,123
East England,PE21 9,1995,45000,151
East England,PE22 0,1995,53000,88
East England,PE22 7,1995,48000,52
East England,PE22 8,1995,38000,38
East England,PE22 9,1995,46000,49
East England,PE23 4,1995,54000,33
East England,PE23 5,1995,44000,68
East England,PE24 4,1995,51000,44
East England,PE24 5,1995,43000,166
East England,PE25 1,1995,41000,94
East England,PE25 2,1995,42000,98
East England,PE25 3,1995,49000,124
East England,PE26 1,1995,61000,148
East England,PE26 2,1995,64000,102
East England,PE27 3,1995,60000,281
East England,PE27 4,1995,84000,62
East England,PE27 5,1995,76000,101
East England,PE27 6,1995,64000,84
East England,PE28 0,1995,88000,109
East England,PE28 2,1995,77000,136
East England,PE28 3,1995,66000,183
East England,PE28 4,1995,76000,137
East England,PE28 5,1995,62000,124
East England,PE28 9,1995,101000,79
