region,postcode_sector,year,avg_price,volume
East England,PE1 1,2001,80000,16
East England,PE1 2,2001,59000,232
East England,PE1 3,2001,65000,288
East England,PE1 4,2001,72000,313
East England,PE1 5,2001,57000,272
East England,PE10 0,2001,112000,232
East England,PE10 9,2001,89000,307
East England,PE11 1,2001,82000,250
East England,PE11 2,2001,76000,343
East England,PE11 3,2001,89000,397
East England,PE11 4,2001,82000,188
East England,PE12 0,2001,104000,154
East England,PE12 6,2001,97000,216
East England,PE12 7,2001,77000,291
East England,PE12 8,2001,94000,135
East England,PE12 9,2001,75000,328
East England,PE13 1,2001,65000,112
East England,PE13 2,2001,68000,276
East England,PE13 3,2001,60000,333
East England,PE13 4,2001,90000,121
East England,PE13 5,2001,81000,132
East England,PE14 0,2001,69000,112
East England,PE14 7,2001,97000,111
East England,PE14 8,2001,84000,129
East England,PE14 9,2001,83000,93
East England,PE15 0,2001,91000,169
East England,PE15 8,2001,71000,341
East England,PE15 9,2001,79000,292
East England,PE16 6,2001,71000,347
East England,PE19 1,2001,100000,174
East England,PE19 2,2001,87000,280
East England,PE19 5,2001,157000,136
East England,PE19 6,2001,142000,150
East England,PE19 7,2001,124000,152
East England,PE19 8,2001,104000,242
East England,PE2 5,2001,57000,465
East England,PE2 6,2001,102000,98
East England,PE2 7,2001,126000,128
East England,PE2 8,2001,77000,356
East England,PE2 9,2001,67000,373
East England,PE20 1,2001,86000,149
East England,PE20 2,2001,81000,53
East England,PE20 3,2001,76000,151
East England,PE21 0,2001,57000,232
East England,PE21 6,2001,65000,88
East England,PE21 7,2001,72000,195
East England,PE21 8,2001,47000,302
East England,PE21 9,2001,68000,262
East England,PE22 0,2001,79000,145
East England,PE22 7,2001,83000,69
East England,PE22 8,2001,82000,86
East England,PE22 9,2001,88000,66
East England,PE23 4,2001,102000,60
East England,PE23 5,2001,73000,123
East England,PE24 4,2001,76000,87
East England,PE24 5,2001,63000,256
East England,PE25 1,2001,71000,156
East England,PE25 2,2001,62000,179
East England,PE25 3,2001,71000,156
East England,PE25 5,2001,84000,1
East England,PE26 1,2001,91000,160
East England,PE26 2,2001,105000,166
East England,PE27 3,2001,91000,303
East England,PE27 4,2001,148000,55
East England,PE27 5,2001,121000,177
East England,PE27 6,2001,110000,76
East England,PE28 0,2001,168000,138
East England,PE28 2,2001,106000,350
East England,PE28 3,2001,123000,309
East England,PE28 4,2001,135000,201
East England,PE28 5,2001,118000,195
East England,PE28 9,2001,175000,134
East England,PE29 1,2001,116000,269
East England,PE29 2,2001,103000,182
East England,PE29 3,2001,77000,127
East England,PE29 6,2001,125000,195
East England,PE29 7,2001,68000,121
East England,PE3 6,2001,122000,140
East England,PE3 7,2001,40000,107
East England,PE3 8,2001,50000,166
East England,PE3 9,2001,84000,184
East England,PE30 0,2001,149000,1
East England,PE30 1,2001,69000,71
East England,PE30 2,2001,53000,141
East England,PE30 3,2001,95000,372
East England,PE30 4,2001,55000,273
East England,PE30 5,2001,50000,180
East England,PE31 6,2001,107000,204
East England,PE31 7,2001,94000,240
East England,PE31 8,2001,173000,147
East England,PE32 1,2001,114000,176
East England,PE32 2,2001,113000,121
East England,PE33 0,2001,99000,184
East England,PE33 9,2001,96000,132
East England,PE34 3,2001,87000,106
East England,PE34 4,2001,91000,148
East England,PE36 5,2001,96000,131
East England,PE36 6,2001,154000,125
East England,PE37 7,2001,85000,194
East England,PE37 8,2001,107000,84
East England,PE38 0,2001,77000,114
East England,PE38 9,2001,92000,293
East England,PE4 5,2001,75000,225
East England,PE4 6,2001,84000,267
East England,PE4 7,2001,65000,323
East England,PE5 7,2001,176000,28
East England,PE6 0,2001,92000,201
East England,PE6 7,2001,123000,243
East England,PE6 8,2001,95000,402
East England,PE6 9,2001,139000,195
East England,PE7 1,2001,79000,371
East England,PE7 2,2001,85000,104
East England,PE7 3,2001,97000,492
East England,PE7 8,2001,123000,207
East England,PE8 4,2001,139000,125
East England,PE8 5,2001,227000,67
East England,PE8 6,2001,87000,310
East England,PE9 1,2001,79000,191
East England,PE9 2,2001,121000,286
East England,PE9 3,2001,195000,133
East England,PE9 4,2001,147000,146
East Midlands,DE1 1,2001,50000,89
East Midlands,DE1 2,2001,66000,30
East Midlands,DE1 3,2001,69000,184
East Midlands,DE11 0,2001,63000,369
East Midlands,DE11 7,2001,71000,277
East Midlands,DE11 8,2001,78000,248
East Midlands,DE11 9,2001,54000,315
East Midlands,DE12 6,2001,74000,158
East Midlands,DE12 7,2001,99000,270
East Midlands,DE12 8,2001,123000,50
East Midlands,DE13 0,2001,86000,622
East Midlands,DE13 7,2001,171000,72
East Midlands,DE13 8,2001,136000,144
East Midlands,DE13 9,2001,110000,189
East Midlands,DE14 1,2001,46000,48
East Midlands,DE14 2,2001,41000,242
East Midlands,DE14 3,2001,61000,443
East Midlands,DE15 0,2001,108000,153
East Midlands,DE15 9,2001,73000,319
East Midlands,DE21 2,2001,82000,454
East Midlands,DE21 4,2001,58000,265
East Midlands,DE21 5,2001,131000,64
East Midlands,DE21 6,2001,51000,316
East Midlands,DE21 7,2001,65000,237
East Midlands,DE22 1,2001,110000,123
East Midlands,DE22 2,2001,108000,297
East Midlands,DE22 3,2001,50000,460
East Midlands,DE22 4,2001,49000,99
East Midlands,DE22 5,2001,240000,18
East Midlands,DE23 1,2001,70000,189
East Midlands,DE23 2,2001,84000,44
East Midlands,DE23 3,2001,136000,227
East Midlands,DE23 4,2001,148000,72
East Midlands,DE23 6,2001,66000,441
East Midlands,DE23 8,2001,32000,372
East Midlands,DE24 0,2001,53000,361
East Midlands,DE24 3,2001,62000,196
East Midlands,DE24 5,2001,90000,45
East Midlands,DE24 8,2001,33000,305
East Midlands,DE24 9,2001,48000,218
East Midlands,DE3 0,2001,112000,269
East Midlands,DE3 9,2001,98000,144
East Midlands,DE4 2,2001,115000,161
East Midlands,DE4 3,2001,99000,234
East Midlands,DE4 4,2001,104000,137
East Midlands,DE4 5,2001,128000,100
East Midlands,DE45 1,2001,157000,134
East Midlands,DE5 3,2001,65000,280
East Midlands,DE5 8,2001,82000,96
East Midlands,DE5 9,2001,54000,94
East Midlands,DE55 1,2001,63000,194
East Midlands,DE55 2,2001,51000,182
East Midlands,DE55 3,2001,64000,192
East Midlands,DE55 4,2001,47000,170
East Midlands,DE55 5,2001,56000,206
East Midlands,DE55 6,2001,68000,112
East Midlands,DE55 7,2001,60000,186
East Midlands,DE56 0,2001,76000,344
East Midlands,DE56 1,2001,76000,376
East Midlands,DE56 2,2001,110000,189
East Midlands,DE56 4,2001,148000,90
East Midlands,DE6 1,2001,118000,211
East Midlands,DE6 2,2001,152000,83
East Midlands,DE6 3,2001,155000,49
East Midlands,DE6 4,2001,156000,12
East Midlands,DE6 5,2001,124000,59
East Midlands,DE65 5,2001,96000,309
East Midlands,DE65 6,2001,113000,207
East Midlands,DE7 4,2001,58000,242
East Midlands,DE7 5,2001,45000,217
East Midlands,DE7 6,2001,86000,217
East Midlands,DE7 8,2001,45000,269
East Midlands,DE7 9,2001,72000,156
East Midlands,DE72 2,2001,107000,94
East Midlands,DE72 3,2001,97000,390
East Midlands,DE73 1,2001,141000,8
East Midlands,DE73 5,2001,133000,132
East Midlands,DE73 6,2001,90000,187
East Midlands,DE73 7,2001,159000,32
East Midlands,DE73 8,2001,107000,147
East Midlands,DE74 2,2001,99000,223
East Midlands,DE75 7,2001,62000,447
East Midlands,DN1 1,2001,69000,16
East Midlands,DN1 2,2001,32000,171
East Midlands,DN1 3,2001,34000,13
East Midlands,DN10 4,2001,84000,121
East Midlands,DN10 5,2001,121000,21
East Midlands,DN10 6,2001,114000,152
East Midlands,DN11 0,2001,58000,388
East Midlands,DN11 8,2001,50000,174
East Midlands,DN11 9,2001,98000,167
East Midlands,DN12 1,2001,30000,200
East Midlands,DN12 2,2001,49000,111
East Midlands,DN12 3,2001,44000,92
East Midlands,DN12 4,2001,56000,18
East Midlands,DN14 0,2001,80000,155
East Midlands,DN14 5,2001,44000,177
East Midlands,DN14 6,2001,46000,289
East Midlands,DN14 7,2001,85000,214
East Midlands,DN14 8,2001,76000,127
East Midlands,DN14 9,2001,77000,121
East Midlands,DN15 0,2001,102000,16
East Midlands,DN15 6,2001,42000,89
East Midlands,DN15 7,2001,39000,182
East Midlands,DN15 8,2001,49000,250
East Midlands,DN15 9,2001,61000,248
East Midlands,DN16 1,2001,33000,139
East Midlands,DN16 2,2001,40000,157
East Midlands,DN16 3,2001,60000,350
East Midlands,DN17 1,2001,54000,158
East Midlands,DN17 2,2001,60000,213
East Midlands,DN17 3,2001,64000,164
East Midlands,DN17 4,2001,78000,184
East Midlands,DN18 5,2001,59000,271
East Midlands,DN18 6,2001,63000,75
East Midlands,DN19 7,2001,70000,223
East Midlands,DN2 4,2001,42000,136
East Midlands,DN2 5,2001,59000,172
East Midlands,DN2 6,2001,47000,118
East Midlands,DN20 0,2001,69000,167
East Midlands,DN20 8,2001,71000,139
East Midlands,DN20 9,2001,72000,161
East Midlands,DN21 1,2001,32000,272
East Midlands,DN21 2,2001,33000,152
East Midlands,DN21 3,2001,69000,131
East Midlands,DN21 4,2001,80000,103
East Midlands,DN21 5,2001,69000,152
East Midlands,DN22 0,2001,104000,73
East Midlands,DN22 6,2001,60000,143
East Midlands,DN22 7,2001,61000,338
East Midlands,DN22 8,2001,98000,88
East Midlands,DN22 9,2001,112000,54
East Midlands,DN3 1,2001,66000,200
East Midlands,DN3 2,2001,59000,214
East Midlands,DN3 3,2001,61000,236
East Midlands,DN31 1,2001,31000,49
East Midlands,DN31 2,2001,27000,207
East Midlands,DN31 3,2001,38000,5
East Midlands,DN32 0,2001,57000,211
East Midlands,DN32 7,2001,22000,94
East Midlands,DN32 8,2001,45000,235
East Midlands,DN32 9,2001,36000,243
East Midlands,DN33 1,2001,24000,46
East Midlands,DN33 2,2001,68000,117
East Midlands,DN33 3,2001,61000,255
East Midlands,DN34 4,2001,46000,258
East Midlands,DN34 5,2001,47000,254
East Midlands,DN35 0,2001,77000,224
East Midlands,DN35 7,2001,34000,336
East Midlands,DN35 8,2001,44000,282
East Midlands,DN35 9,2001,56000,85
East Midlands,DN36 4,2001,82000,289
East Midlands,DN36 5,2001,72000,180
East Midlands,DN37 0,2001,88000,180
East Midlands,DN37 7,2001,78000,96
East Midlands,DN37 8,2001,114000,1
East Midlands,DN37 9,2001,57000,227
East Midlands,DN38 6,2001,76000,80
East Midlands,DN39 6,2001,69000,66
East Midlands,DN4 0,2001,31000,288
East Midlands,DN4 5,2001,44000,134
East Midlands,DN4 6,2001,83000,224
East Midlands,DN4 7,2001,90000,151
East Midlands,DN4 8,2001,55000,291
East Midlands,DN4 9,2001,48000,203
East Midlands,DN40 1,2001,44000,90
East Midlands,DN40 2,2001,43000,100
East Midlands,DN40 3,2001,48000,53
East Midlands,DN41 7,2001,90000,108
East Midlands,DN41 8,2001,64000,83
East Midlands,DN5 0,2001,39000,223
East Midlands,DN5 7,2001,95000,167
East Midlands,DN5 8,2001,50000,223
East Midlands,DN5 9,2001,37000,218
East Midlands,DN6 0,2001,41000,118
East Midlands,DN6 7,2001,42000,179
East Midlands,DN6 8,2001,45000,152
East Midlands,DN6 9,2001,79000,107
East Midlands,DN7 4,2001,48000,173
East Midlands,DN7 5,2001,42000,86
East Midlands,DN7 6,2001,66000,169
East Midlands,DN8 4,2001,40000,139
East Midlands,DN8 5,2001,50000,219
East Midlands,DN9 1,2001,90000,218
East Midlands,DN9 2,2001,92000,147
East Midlands,DN9 3,2001,88000,134
East Midlands,LE1 1,2001,120000,3
East Midlands,LE1 3,2001,87000,9
East Midlands,LE1 4,2001,179000,3
East Midlands,LE1 5,2001,108000,3
East Midlands,LE1 6,2001,120000,48
East Midlands,LE1 7,2001,84000,2
East Midlands,LE10 0,2001,77000,639
East Midlands,LE10 1,2001,85000,284
East Midlands,LE10 2,2001,122000,393
East Midlands,LE10 3,2001,144000,44
East Midlands,LE11 1,2001,56000,212
East Midlands,LE11 2,2001,95000,276
East Midlands,LE11 3,2001,124000,194
East Midlands,LE11 4,2001,74000,208
East Midlands,LE11 5,2001,71000,178
East Midlands,LE12 5,2001,147000,130
East Midlands,LE12 6,2001,136000,146
East Midlands,LE12 7,2001,78000,454
East Midlands,LE12 8,2001,131000,292
East Midlands,LE12 9,2001,77000,354
East Midlands,LE13 0,2001,75000,361
East Midlands,LE13 1,2001,89000,325
East Midlands,LE14 2,2001,189000,85
East Midlands,LE14 3,2001,119000,168
East Midlands,LE14 4,2001,147000,146
East Midlands,LE15 6,2001,115000,353
East Midlands,LE15 7,2001,163000,155
East Midlands,LE15 8,2001,202000,99
East Midlands,LE15 9,2001,143000,158
East Midlands,LE16 7,2001,129000,439
East Midlands,LE16 8,2001,139000,210
East Midlands,LE16 9,2001,98000,364
East Midlands,LE17 4,2001,123000,364
East Midlands,LE17 5,2001,175000,111
East Midlands,LE17 6,2001,173000,91
East Midlands,LE18 1,2001,76000,131
East Midlands,LE18 2,2001,67000,151
East Midlands,LE18 3,2001,84000,185
East Midlands,LE18 4,2001,55000,253
East Midlands,LE19 2,2001,85000,191
East Midlands,LE19 3,2001,97000,113
East Midlands,LE19 4,2001,74000,116
East Midlands,LE2 0,2001,52000,95
East Midlands,LE2 1,2001,77000,303
East Midlands,LE2 2,2001,138000,144
East Midlands,LE2 3,2001,128000,268
East Midlands,LE2 4,2001,132000,278
East Midlands,LE2 5,2001,105000,160
East Midlands,LE2 6,2001,65000,218
East Midlands,LE2 7,2001,51000,121
East Midlands,LE2 8,2001,63000,313
East Midlands,LE2 9,2001,63000,314
East Midlands,LE3 0,2001,62000,384
East Midlands,LE3 1,2001,49000,166
East Midlands,LE3 2,2001,67000,313
East Midlands,LE3 3,2001,92000,484
East Midlands,LE3 5,2001,45000,200
East Midlands,LE3 6,2001,62000,268
East Midlands,LE3 8,2001,99000,242
East Midlands,LE3 9,2001,65000,322
East Midlands,LE4 0,2001,52000,183
East Midlands,LE4 1,2001,47000,119
