region,postcode_sector,year,avg_price,volume
East Midlands,DE55 7,2018,185000,223
East Midlands,DE56 0,2018,206000,220
East Midlands,DE56 1,2018,201000,301
East Midlands,DE56 2,2018,289000,146
East Midlands,DE56 4,2018,361000,104
East Midlands,DE6 1,2018,275000,237
East Midlands,DE6 2,2018,310000,63
East Midlands,DE6 3,2018,328000,77
East Midlands,DE6 4,2018,374000,7
East Midlands,DE6 5,2018,320000,60
East Midlands,DE65 5,2018,214000,306
East Midlands,DE65 6,2018,284000,241
East Midlands,DE7 4,2018,175000,290
East Midlands,DE7 5,2018,133000,205
East Midlands,DE7 6,2018,239000,187
East Midlands,DE7 8,2018,121000,239
East Midlands,DE7 9,2018,166000,47
East Midlands,DE72 2,2018,325000,129
East Midlands,DE72 3,2018,241000,270
East Midlands,DE73 5,2018,213000,83
East Midlands,DE73 6,2018,230000,234
East Midlands,DE73 7,2018,500000,19
East Midlands,DE73 8,2018,309000,118
East Midlands,DE74 2,2018,239000,228
East Midlands,DE75 7,2018,147000,326
East Midlands,DN1 1,2018,64000,7
East Midlands,DN1 2,2018,107000,127
East Midlands,DN1 3,2018,73000,33
East Midlands,DN10 4,2018,228000,91
East Midlands,DN10 5,2018,275000,25
East Midlands,DN10 6,2018,220000,126
East Midlands,DN11 0,2018,127000,299
East Midlands,DN11 8,2018,127000,222
East Midlands,DN11 9,2018,253000,96
East Midlands,DN12 1,2018,97000,183
East Midlands,DN12 2,2018,108000,74
East Midlands,DN12 3,2018,109000,88
East Midlands,DN12 4,2018,123000,67
East Midlands,DN14 0,2018,190000,144
East Midlands,DN14 5,2018,123000,115
East Midlands,DN14 6,2018,132000,219
East Midlands,DN14 7,2018,214000,144
East Midlands,DN14 8,2018,176000,91
East Midlands,DN14 9,2018,215000,155
East Midlands,DN15 0,2018,205000,14
East Midlands,DN15 6,2018,81000,52
East Midlands,DN15 7,2018,99000,113
East Midlands,DN15 8,2018,131000,152
East Midlands,DN15 9,2018,170000,171
East Midlands,DN16 1,2018,95000,97
East Midlands,DN16 2,2018,113000,132
East Midlands,DN16 3,2018,144000,341
East Midlands,DN17 1,2018,125000,134
East Midlands,DN17 2,2018,138000,203
East Midlands,DN17 3,2018,173000,118
East Midlands,DN17 4,2018,172000,109
East Midlands,DN18 5,2018,160000,227
East Midlands,DN18 6,2018,167000,39
East Midlands,DN19 7,2018,200000,138
East Midlands,DN2 4,2018,107000,107
East Midlands,DN2 5,2018,149000,130
East Midlands,DN2 6,2018,104000,78
East Midlands,DN20 0,2018,183000,119
East Midlands,DN20 8,2018,165000,121
East Midlands,DN20 9,2018,193000,103
East Midlands,DN21 1,2018,108000,278
East Midlands,DN21 2,2018,94000,132
East Midlands,DN21 3,2018,190000,150
East Midlands,DN21 4,2018,186000,91
East Midlands,DN21 5,2018,218000,87
East Midlands,DN22 0,2018,229000,79
East Midlands,DN22 6,2018,140000,138
East Midlands,DN22 7,2018,176000,355
East Midlands,DN22 8,2018,246000,91
East Midlands,DN22 9,2018,224000,55
East Midlands,DN3 1,2018,160000,132
East Midlands,DN3 2,2018,144000,221
East Midlands,DN3 3,2018,152000,156
East Midlands,DN31 1,2018,66000,21
East Midlands,DN31 2,2018,62000,130
East Midlands,DN31 3,2018,42000,3
East Midlands,DN32 0,2018,138000,117
East Midlands,DN32 7,2018,47000,63
East Midlands,DN32 8,2018,95000,134
East Midlands,DN32 9,2018,77000,124
East Midlands,DN33 1,2018,94000,86
East Midlands,DN33 2,2018,172000,85
East Midlands,DN33 3,2018,174000,177
East Midlands,DN34 4,2018,126000,161
East Midlands,DN34 5,2018,111000,182
East Midlands,DN35 0,2018,205000,143
East Midlands,DN35 7,2018,91000,219
East Midlands,DN35 8,2018,119000,163
East Midlands,DN35 9,2018,134000,76
East Midlands,DN36 4,2018,213000,267
East Midlands,DN36 5,2018,190000,210
East Midlands,DN37 0,2018,224000,134
East Midlands,DN37 7,2018,183000,61
East Midlands,DN37 8,2018,205000,2
East Midlands,DN37 9,2018,135000,129
East Midlands,DN38 6,2018,182000,40
East Midlands,DN39 6,2018,168000,47
East Midlands,DN4 0,2018,74000,178
East Midlands,DN4 5,2018,155000,192
East Midlands,DN4 6,2018,201000,198
East Midlands,DN4 7,2018,228000,177
East Midlands,DN4 8,2018,118000,145
East Midlands,DN4 9,2018,128000,136
East Midlands,DN40 1,2018,108000,49
East Midlands,DN40 2,2018,119000,68
East Midlands,DN40 3,2018,130000,54
East Midlands,DN41 7,2018,195000,48
East Midlands,DN41 8,2018,175000,60
East Midlands,DN5 0,2018,95000,115
East Midlands,DN5 7,2018,240000,135
East Midlands,DN5 8,2018,149000,162
East Midlands,DN5 9,2018,113000,226
East Midlands,DN6 0,2018,121000,172
East Midlands,DN6 7,2018,131000,186
East Midlands,DN6 8,2018,119000,93
East Midlands,DN6 9,2018,164000,85
East Midlands,DN7 4,2018,112000,107
East Midlands,DN7 5,2018,115000,106
East Midlands,DN7 6,2018,149000,129
East Midlands,DN8 4,2018,103000,138
East Midlands,DN8 5,2018,128000,152
East Midlands,DN9 1,2018,218000,168
East Midlands,DN9 2,2018,235000,76
East Midlands,DN9 3,2018,216000,269
East Midlands,LE1 1,2018,145000,100
East Midlands,LE1 3,2018,101000,15
East Midlands,LE1 4,2018,132000,20
East Midlands,LE1 5,2018,131000,15
East Midlands,LE1 6,2018,158000,121
East Midlands,LE1 7,2018,208000,7
East Midlands,LE10 0,2018,188000,439
East Midlands,LE10 1,2018,217000,229
East Midlands,LE10 2,2018,258000,256
East Midlands,LE10 3,2018,370000,70
East Midlands,LE11 1,2018,141000,205
East Midlands,LE11 2,2018,233000,385
East Midlands,LE11 3,2018,263000,162
East Midlands,LE11 4,2018,167000,123
East Midlands,LE11 5,2018,165000,156
East Midlands,LE12 5,2018,319000,150
East Midlands,LE12 6,2018,275000,325
East Midlands,LE12 7,2018,220000,439
East Midlands,LE12 8,2018,317000,349
East Midlands,LE12 9,2018,201000,362
East Midlands,LE13 0,2018,212000,296
East Midlands,LE13 1,2018,204000,207
East Midlands,LE14 2,2018,359000,81
East Midlands,LE14 3,2018,302000,108
East Midlands,LE14 4,2018,332000,110
East Midlands,LE15 6,2018,261000,284
East Midlands,LE15 7,2018,317000,191
East Midlands,LE15 8,2018,452000,95
East Midlands,LE15 9,2018,347000,117
East Midlands,LE16 7,2018,337000,209
East Midlands,LE16 8,2018,364000,197
East Midlands,LE16 9,2018,293000,330
East Midlands,LE17 4,2018,278000,209
East Midlands,LE17 5,2018,371000,102
East Midlands,LE17 6,2018,338000,100
East Midlands,LE18 1,2018,199000,136
East Midlands,LE18 2,2018,186000,103
East Midlands,LE18 3,2018,230000,160
East Midlands,LE18 4,2018,163000,141
East Midlands,LE19 1,2018,541000,1
East Midlands,LE19 2,2018,233000,112
East Midlands,LE19 3,2018,239000,85
East Midlands,LE19 4,2018,265000,210
East Midlands,LE2 0,2018,181000,37
East Midlands,LE2 1,2018,214000,140
East Midlands,LE2 2,2018,261000,111
East Midlands,LE2 3,2018,332000,169
East Midlands,LE2 4,2018,290000,154
East Midlands,LE2 5,2018,257000,100
East Midlands,LE2 6,2018,181000,198
East Midlands,LE2 7,2018,160000,103
East Midlands,LE2 8,2018,165000,195
East Midlands,LE2 9,2018,174000,201
East Midlands,LE3 0,2018,161000,172
East Midlands,LE3 1,2018,139000,99
East Midlands,LE3 2,2018,176000,227
East Midlands,LE3 3,2018,240000,284
East Midlands,LE3 5,2018,321000,106
East Midlands,LE3 6,2018,173000,180
East Midlands,LE3 8,2018,231000,189
East Midlands,LE3 9,2018,157000,228
East Midlands,LE4 0,2018,175000,164
East Midlands,LE4 1,2018,154000,51
East Midlands,LE4 2,2018,183000,129
East Midlands,LE4 3,2018,239000,161
East Midlands,LE4 4,2018,209000,101
East Midlands,LE4 5,2018,190000,129
East Midlands,LE4 6,2018,183000,72
East Midlands,LE4 7,2018,200000,76
East Midlands,LE4 8,2018,188000,136
East Midlands,LE4 9,2018,163000,129
East Midlands,LE5 0,2018,173000,71
East Midlands,LE5 1,2018,246000,418
East Midlands,LE5 2,2018,265000,164
East Midlands,LE5 3,2018,168000,55
East Midlands,LE5 4,2018,184000,123
East Midlands,LE5 5,2018,236000,147
East Midlands,LE5 6,2018,271000,90
East Midlands,LE6 0,2018,245000,216
East Midlands,LE65 1,2018,314000,194
East Midlands,LE65 2,2018,266000,278
East Midlands,LE67 1,2018,194000,133
East Midlands,LE67 2,2018,241000,297
East Midlands,LE67 3,2018,150000,213
East Midlands,LE67 4,2018,209000,256
East Midlands,LE67 5,2018,182000,152
East Midlands,LE67 6,2018,196000,130
East Midlands,LE67 8,2018,268000,130
East Midlands,LE67 9,2018,229000,130
East Midlands,LE7 1,2018,191000,100
East Midlands,LE7 2,2018,226000,194
East Midlands,LE7 3,2018,269000,133
