region,postcode_sector,year,avg_price,volume
East England,PE1 1,1999,77000,20
East England,PE1 2,1999,46000,204
East England,PE1 3,1999,52000,254
East England,PE1 4,1999,58000,290
East England,PE1 5,1999,40000,168
East England,PE10 0,1999,83000,263
East England,PE10 9,1999,72000,358
East England,PE11 1,1999,56000,245
East England,PE11 2,1999,54000,247
East England,PE11 3,1999,69000,363
East England,PE11 4,1999,65000,199
East England,PE12 0,1999,71000,142
East England,PE12 6,1999,75000,233
East England,PE12 7,1999,57000,297
East England,PE12 8,1999,60000,138
East England,PE12 9,1999,56000,287
East England,PE13 1,1999,58000,74
East England,PE13 2,1999,47000,195
East England,PE13 3,1999,46000,211
East England,PE13 4,1999,67000,111
East England,PE13 5,1999,66000,114
East England,PE14 0,1999,61000,124
East England,PE14 7,1999,73000,155
East England,PE14 8,1999,65000,133
East England,PE14 9,1999,64000,101
East England,PE15 0,1999,68000,242
East England,PE15 8,1999,51000,366
East England,PE15 9,1999,57000,240
East England,PE16 6,1999,56000,314
East England,PE17 5,1999,60000,1
East England,PE18 6,1999,135000,1
East England,PE19 1,1999,83000,212
East England,PE19 2,1999,62000,277
East England,PE19 5,1999,127000,164
East England,PE19 6,1999,110000,167
East England,PE19 7,1999,85000,151
East England,PE19 8,1999,71000,244
East England,PE2 5,1999,47000,355
East England,PE2 6,1999,91000,107
East England,PE2 7,1999,92000,143
East England,PE2 8,1999,64000,466
East England,PE2 9,1999,43000,239
East England,PE20 1,1999,57000,90
East England,PE20 2,1999,55000,40
East England,PE20 3,1999,58000,86
East England,PE21 0,1999,49000,237
East England,PE21 1,1999,53000,1
East England,PE21 6,1999,39000,75
East England,PE21 7,1999,55000,215
East England,PE21 8,1999,36000,249
East England,PE21 9,1999,56000,249
East England,PE22 0,1999,66000,152
East England,PE22 7,1999,56000,69
East England,PE22 8,1999,63000,80
East England,PE22 9,1999,60000,66
East England,PE23 4,1999,102000,60
East England,PE23 5,1999,52000,120
East England,PE24 4,1999,54000,74
East England,PE24 5,1999,51000,234
East England,PE25 1,1999,57000,159
East England,PE25 2,1999,47000,154
East England,PE25 3,1999,65000,160
East England,PE26 1,1999,71000,137
East England,PE26 2,1999,81000,176
East England,PE27 3,1999,71000,283
East England,PE27 4,1999,102000,52
East England,PE27 5,1999,94000,177
East England,PE27 6,1999,86000,95
East England,PE28 0,1999,136000,175
East England,PE28 2,1999,112000,181
East England,PE28 3,1999,99000,274
East England,PE28 4,1999,98000,350
East England,PE28 5,1999,87000,233
East England,PE28 9,1999,139000,151
East England,PE29 1,1999,84000,314
East England,PE29 2,1999,90000,210
East England,PE29 3,1999,57000,68
East England,PE29 6,1999,97000,293
East England,PE29 7,1999,44000,77
East England,PE3 6,1999,90000,136
East England,PE3 7,1999,34000,64
East England,PE3 8,1999,44000,155
East England,PE3 9,1999,71000,209
East England,PE30 1,1999,51000,64
East England,PE30 2,1999,37000,109
East England,PE30 3,1999,67000,303
East England,PE30 4,1999,53000,301
East England,PE30 5,1999,43000,187
East England,PE31 6,1999,78000,241
East England,PE31 7,1999,68000,228
East England,PE31 8,1999,119000,164
East England,PE32 1,1999,81000,195
East England,PE32 2,1999,78000,135
East England,PE33 0,1999,70000,224
East England,PE33 9,1999,72000,140
East England,PE34 3,1999,63000,116
East England,PE34 4,1999,65000,166
East England,PE36 5,1999,69000,155
East England,PE36 6,1999,95000,142
East England,PE37 7,1999,66000,179
East England,PE37 8,1999,65000,66
East England,PE38 0,1999,73000,108
East England,PE38 9,1999,65000,224
East England,PE4 5,1999,58000,224
East England,PE4 6,1999,60000,231
East England,PE4 7,1999,53000,267
East England,PE5 7,1999,138000,28
East England,PE6 0,1999,65000,128
East England,PE6 7,1999,86000,218
East England,PE6 8,1999,75000,385
East England,PE6 9,1999,89000,173
East England,PE7 1,1999,64000,414
East England,PE7 2,1999,68000,125
East England,PE7 3,1999,72000,436
East England,PE7 8,1999,102000,158
East England,PE8 4,1999,105000,195
East England,PE8 5,1999,181000,82
East England,PE8 6,1999,121000,150
East England,PE9 1,1999,63000,237
East England,PE9 2,1999,92000,352
East England,PE9 3,1999,138000,126
East England,PE9 4,1999,102000,192
East Midlands,DE1 1,1999,44000,85
East Midlands,DE1 2,1999,51000,23
East Midlands,DE1 3,1999,57000,123
East Midlands,DE11 0,1999,55000,306
East Midlands,DE11 7,1999,56000,181
East Midlands,DE11 8,1999,58000,97
East Midlands,DE11 9,1999,51000,320
East Midlands,DE12 6,1999,71000,180
East Midlands,DE12 7,1999,76000,227
East Midlands,DE12 8,1999,114000,76
East Midlands,DE13 0,1999,61000,419
East Midlands,DE13 7,1999,158000,104
East Midlands,DE13 8,1999,106000,162
East Midlands,DE13 9,1999,89000,183
East Midlands,DE14 1,1999,42000,39
East Midlands,DE14 2,1999,38000,218
East Midlands,DE14 3,1999,58000,494
East Midlands,DE15 0,1999,71000,147
East Midlands,DE15 9,1999,61000,294
East Midlands,DE21 2,1999,64000,486
East Midlands,DE21 4,1999,58000,259
East Midlands,DE21 5,1999,99000,58
