region,postcode_sector,year,avg_price,volume
East England,PE1 1,2016,131000,81
East England,PE1 2,2016,139000,91
East England,PE1 3,2016,140000,166
East England,PE1 4,2016,167000,217
East England,PE1 5,2016,138000,201
East England,PE10 0,2016,207000,340
East England,PE10 9,2016,192000,274
East England,PE11 1,2016,166000,170
East England,PE11 2,2016,155000,232
East England,PE11 3,2016,181000,318
East England,PE11 4,2016,189000,149
East England,PE12 0,2016,213000,127
East England,PE12 6,2016,195000,175
East England,PE12 7,2016,167000,199
East England,PE12 8,2016,189000,110
East England,PE12 9,2016,157000,221
East England,PE13 1,2016,186000,62
East England,PE13 2,2016,144000,198
East England,PE13 3,2016,131000,210
East England,PE13 4,2016,199000,154
East England,PE13 5,2016,199000,132
East England,PE14 0,2016,192000,118
East England,PE14 7,2016,213000,119
East England,PE14 8,2016,200000,109
East England,PE14 9,2016,199000,79
East England,PE15 0,2016,206000,204
East England,PE15 8,2016,164000,269
East England,PE15 9,2016,190000,186
East England,PE16 6,2016,185000,291
East England,PE19 1,2016,255000,117
East England,PE19 2,2016,228000,237
East England,PE19 5,2016,317000,111
East England,PE19 6,2016,264000,351
East England,PE19 7,2016,289000,98
East England,PE19 8,2016,246000,168
East England,PE2 5,2016,157000,249
East England,PE2 6,2016,226000,106
East England,PE2 7,2016,253000,62
East England,PE2 8,2016,166000,502
East England,PE2 9,2016,172000,341
East England,PE20 1,2016,173000,113
East England,PE20 2,2016,168000,63
East England,PE20 3,2016,162000,82
East England,PE21 0,2016,139000,137
East England,PE21 6,2016,108000,63
East England,PE21 7,2016,174000,206
East England,PE21 8,2016,114000,198
East England,PE21 9,2016,146000,166
East England,PE22 0,2016,180000,96
East England,PE22 7,2016,164000,47
East England,PE22 8,2016,173000,71
East England,PE22 9,2016,181000,62
East England,PE23 4,2016,197000,51
East England,PE23 5,2016,167000,125
East England,PE24 4,2016,142000,68
East England,PE24 5,2016,146000,178
East England,PE25 1,2016,143000,162
East England,PE25 2,2016,121000,107
East England,PE25 3,2016,156000,101
East England,PE26 1,2016,189000,144
East England,PE26 2,2016,226000,129
East England,PE27 3,2016,233000,142
East England,PE27 4,2016,349000,37
East England,PE27 5,2016,245000,119
East England,PE27 6,2016,269000,73
East England,PE28 0,2016,374000,102
East England,PE28 2,2016,267000,183
East England,PE28 3,2016,282000,164
East England,PE28 4,2016,278000,138
East England,PE28 5,2016,275000,159
East England,PE28 9,2016,386000,119
East England,PE29 1,2016,224000,230
East England,PE29 2,2016,268000,134
East England,PE29 3,2016,194000,151
East England,PE29 6,2016,253000,105
East England,PE29 7,2016,159000,47
East England,PE3 6,2016,275000,85
East England,PE3 7,2016,120000,48
East England,PE3 8,2016,133000,91
East England,PE3 9,2016,192000,125
East England,PE30 1,2016,115000,40
East England,PE30 2,2016,117000,100
East England,PE30 3,2016,217000,234
East England,PE30 4,2016,146000,204
East England,PE30 5,2016,141000,177
East England,PE31 6,2016,230000,150
East England,PE31 7,2016,223000,182
East England,PE31 8,2016,519000,170
East England,PE32 1,2016,235000,156
East England,PE32 2,2016,252000,112
East England,PE33 0,2016,222000,162
East England,PE33 9,2016,259000,125
East England,PE34 3,2016,204000,102
East England,PE34 4,2016,208000,144
East England,PE36 5,2016,244000,111
East England,PE36 6,2016,378000,79
East England,PE37 7,2016,185000,164
East England,PE37 8,2016,213000,168
East England,PE38 0,2016,206000,93
East England,PE38 9,2016,194000,353
East England,PE4 5,2016,166000,115
East England,PE4 6,2016,175000,184
East England,PE4 7,2016,155000,191
East England,PE5 7,2016,427000,29
East England,PE6 0,2016,206000,153
East England,PE6 7,2016,258000,230
East England,PE6 8,2016,229000,315
East England,PE6 9,2016,273000,109
East England,PE7 0,2016,179000,66
East England,PE7 1,2016,177000,251
East England,PE7 2,2016,197000,108
East England,PE7 3,2016,215000,310
East England,PE7 8,2016,209000,340
East England,PE8 4,2016,302000,173
East England,PE8 5,2016,370000,62
East England,PE8 6,2016,313000,130
East England,PE9 1,2016,205000,193
East England,PE9 2,2016,314000,289
East England,PE9 3,2016,417000,127
East England,PE9 4,2016,327000,87
East Midlands,DE1 1,2016,120000,72
East Midlands,DE1 2,2016,148000,85
East Midlands,DE1 3,2016,140000,156
East Midlands,DE11 0,2016,147000,302
East Midlands,DE11 7,2016,163000,190
East Midlands,DE11 8,2016,162000,159
East Midlands,DE11 9,2016,155000,337
East Midlands,DE12 6,2016,181000,126
East Midlands,DE12 7,2016,201000,196
East Midlands,DE12 8,2016,240000,66
East Midlands,DE13 0,2016,176000,370
East Midlands,DE13 7,2016,364000,73
East Midlands,DE13 8,2016,327000,179
