region,postcode_sector,year,avg_price,volume
East England,PE1 1,1996,39000,10
East England,PE1 2,1996,38000,149
East England,PE1 3,1996,42000,195
East England,PE1 4,1996,47000,182
East England,PE1 5,1996,38000,91
East England,PE10 0,1996,64000,209
East England,PE10 9,1996,55000,292
East England,PE11 1,1996,46000,237
East England,PE11 2,1996,45000,192
East England,PE11 3,1996,52000,296
East England,PE11 4,1996,48000,160
East England,PE12 0,1996,54000,104
East England,PE12 6,1996,51000,136
East England,PE12 7,1996,47000,190
East England,PE12 8,1996,45000,86
East England,PE12 9,1996,44000,184
East England,PE13 1,1996,57000,64
East England,PE13 2,1996,40000,138
East England,PE13 3,1996,37000,128
East England,PE13 4,1996,42000,71
East England,PE13 5,1996,52000,83
East England,PE14 0,1996,46000,99
East England,PE14 7,1996,58000,132
East England,PE14 8,1996,48000,94
East England,PE14 9,1996,57000,83
East England,PE15 0,1996,51000,130
East England,PE15 8,1996,40000,212
East England,PE15 9,1996,46000,184
East England,PE16 6,1996,45000,195
East England,PE19 1,1996,68000,188
East England,PE19 2,1996,45000,175
East England,PE19 5,1996,85000,140
East England,PE19 6,1996,78000,127
East England,PE19 7,1996,68000,121
East England,PE19 8,1996,54000,184
East England,PE2 5,1996,48000,251
East England,PE2 6,1996,66000,72
East England,PE2 7,1996,63000,93
East England,PE2 8,1996,54000,292
East England,PE2 9,1996,38000,200
East England,PE20 1,1996,55000,68
East England,PE20 2,1996,46000,27
East England,PE20 3,1996,48000,77
East England,PE21 0,1996,43000,153
East England,PE21 6,1996,33000,52
East England,PE21 7,1996,44000,135
East England,PE21 8,1996,32000,182
East England,PE21 9,1996,52000,176
East England,PE22 0,1996,54000,195
East England,PE22 7,1996,51000,50
East England,PE22 8,1996,47000,41
East England,PE22 9,1996,52000,48
East England,PE23 4,1996,66000,47
East England,PE23 5,1996,50000,99
East England,PE24 4,1996,50000,53
East England,PE24 5,1996,40000,184
East England,PE25 1,1996,46000,142
East England,PE25 2,1996,40000,162
East England,PE25 3,1996,50000,173
East England,PE26 1,1996,56000,145
East England,PE26 2,1996,73000,117
East England,PE27 3,1996,60000,288
East England,PE27 4,1996,77000,62
East England,PE27 5,1996,62000,97
East England,PE27 6,1996,64000,89
East England,PE28 0,1996,97000,137
East England,PE28 2,1996,79000,128
East England,PE28 3,1996,70000,246
East England,PE28 4,1996,79000,262
East England,PE28 5,1996,63000,172
East England,PE28 9,1996,90000,116
East England,PE29 1,1996,67000,238
East England,PE29 2,1996,67000,158
East England,PE29 3,1996,45000,52
East England,PE29 6,1996,71000,220
East England,PE29 7,1996,35000,48
East England,PE3 6,1996,73000,126
East England,PE3 7,1996,29000,49
East England,PE3 8,1996,40000,93
East England,PE3 9,1996,54000,152
East England,PE30 1,1996,42000,45
East England,PE30 2,1996,30000,90
East England,PE30 3,1996,55000,349
East England,PE30 4,1996,41000,218
East England,PE30 5,1996,35000,139
East England,PE31 6,1996,58000,209
East England,PE31 7,1996,50000,154
East England,PE31 8,1996,76000,136
East England,PE32 1,1996,60000,199
East England,PE32 2,1996,66000,121
East England,PE33 0,1996,56000,180
East England,PE33 9,1996,62000,94
East England,PE34 3,1996,47000,69
East England,PE34 4,1996,51000,126
East England,PE36 5,1996,54000,125
East England,PE36 6,1996,71000,103
East England,PE37 7,1996,51000,163
East England,PE37 8,1996,56000,52
